Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.biojava.nbio.alignment.GuideTree.getAllPairsScores();2;13;0;8;3;5;5;3;2;0;4;7;4;3;2;2;2;1;0;0;1;0;0.63;org.biojava.nbio.alignment.GuideTreeTest.testGetAllPairsScores();1;3;0;3;1;1;0;2;1;0;1;2;1;1;1;1;1;1;0;0;0;0;0.00;1,0000;0,8000;
org.biojava.nbio.alignment.GuideTree.getDistanceMatrix();3;14;0;9;2;5;5;3;3;0;7;10;4;6;3;3;3;1;0;0;2;0;0.56;org.biojava.nbio.alignment.GuideTreeTest.testGetDistanceMatrix();1;7;0;7;1;5;0;2;1;0;1;2;1;1;1;1;1;1;0;0;0;0;0.00;1,0000;0,7143;
org.biojava.nbio.alignment.GuideTree.getScoreMatrix();4;15;0;10;2;6;5;5;3;0;8;11;4;7;3;3;3;1;0;0;2;0;0.50;org.biojava.nbio.alignment.GuideTreeTest.testGetScoreMatrix();1;7;0;7;1;5;0;2;1;0;1;2;1;1;1;1;1;1;0;0;0;0;0.00;1,0000;0,7000;
org.biojava.nbio.alignment.SimpleGapPenalty.setExtensionPenalty(int);2;7;0;4;1;2;3;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.75;org.biojava.nbio.alignment.TestDNAAlignment.testDNAPairwiseAlignmentWithMixedCompoundSets();1;19;1;14;7;10;4;9;2;0;8;10;6;4;2;2;2;1;1;0;1;0;0.29;1,0000;1,0000;
org.biojava.nbio.alignment.SimpleGapPenalty.setOpenPenalty(int);2;7;0;4;1;2;3;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.75;org.biojava.nbio.alignment.TestDNAAlignment.testDNAPairwiseAlignmentWithMixedCompoundSets();1;19;1;14;7;10;4;9;2;0;8;10;6;4;2;2;2;1;1;0;1;0;0.29;1,0000;1,0000;
org.biojava.nbio.phylo.DistanceTreeEvaluator.evaluate(Phylogeny,DistanceMatrix);6;66;4;47;17;41;15;18;8;1;35;41;19;22;5;5;5;1;1;0;3;0;0.32;org.biojava.nbio.phylo.TestDistanceTreeEvaluator.testErrorEstimation();1;22;4;15;5;13;3;6;1;0;12;13;4;9;1;1;1;1;0;0;0;0;0.20;0,9091;0,4528;
org.biojava.nbio.phylo.TreeConstructor.distanceTree(BasicSymmetricalDistanceMatrix,TreeConstructorType);13;17;1;16;4;12;0;6;2;0;9;11;3;8;2;2;2;1;1;0;1;0;0.00;org.biojava.nbio.phylo.TestDistanceTreeEvaluator.testErrorEstimation();1;22;4;15;5;13;3;6;1;0;12;13;4;9;1;1;1;1;0;0;0;0;0.20;0,6667;0,0000;
org.biojava.nbio.phylo.DistanceTreeEvaluator.evaluate(Phylogeny,DistanceMatrix);6;66;4;47;17;41;15;18;8;1;35;41;19;22;5;5;5;1;1;0;3;0;0.32;org.biojava.nbio.phylo.TestDistanceTreeEvaluator.testErrorFree();1;29;4;21;7;16;4;6;5;1;13;18;7;11;5;5;5;1;2;0;3;0;0.19;0,9091;0,4528;
org.biojava.nbio.phylo.TreeConstructor.distanceTree(BasicSymmetricalDistanceMatrix,TreeConstructorType);13;17;1;16;4;12;0;6;2;0;9;11;3;8;2;2;2;1;1;0;1;0;0.00;org.biojava.nbio.phylo.TestDistanceTreeEvaluator.testErrorFree();1;29;4;21;7;16;4;6;5;1;13;18;7;11;5;5;5;1;2;0;3;0;0.19;0,6667;0,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.allModifications();6;8;0;4;1;2;4;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;1.00;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testRegisterCommonModification();0;14;1;4;2;2;9;3;1;0;2;3;2;1;1;1;2;1;0;0;0;0;2.25;1,0000;1,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.getByCategory(ModificationCategory);3;10;0;5;2;3;5;4;1;0;3;4;2;2;1;1;1;1;0;0;0;0;1.00;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testGetBy();2;39;8;20;3;16;11;10;1;0;18;19;3;16;1;1;1;1;0;0;0;0;0.55;1,0000;1,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.getById(String);6;9;0;4;1;2;5;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;1.25;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testGetBy();2;39;8;20;3;16;11;10;1;0;18;19;3;16;1;1;1;1;0;0;0;0;0.55;1,0000;1,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.getByKeyword(String);4;9;0;4;1;2;5;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;1.25;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testGetBy();2;39;8;20;3;16;11;10;1;0;18;19;3;16;1;1;1;1;0;0;0;0;0.55;1,0000;1,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.getByOccurrenceType(ModificationOccurrenceType);3;10;0;5;2;3;5;4;1;0;3;4;2;2;1;1;1;1;0;0;0;0;1.00;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testGetBy();2;39;8;20;3;16;11;10;1;0;18;19;3;16;1;1;1;1;0;0;0;0;0.55;1,0000;1,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.getByPdbccId(String);3;9;0;4;1;2;5;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;1.25;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testGetBy();2;39;8;20;3;16;11;10;1;0;18;19;3;16;1;1;1;1;0;0;0;0;0.55;1,0000;1,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.getByPsimodId(String);3;9;0;4;1;2;5;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;1.25;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testGetBy();2;39;8;20;3;16;11;10;1;0;18;19;3;16;1;1;1;1;0;0;0;0;0.55;1,0000;1,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.getByResidId(String);4;9;0;4;1;2;5;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;1.25;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testGetBy();2;39;8;20;3;16;11;10;1;0;18;19;3;16;1;1;1;1;0;0;0;0;0.55;1,0000;1,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.getById(String);6;9;0;4;1;2;5;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;1.25;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testRegisterModification();2;37;4;24;6;21;9;18;1;0;8;9;5;4;1;1;1;1;0;0;0;0;0.38;1,0000;1,0000;
org.biojava.nbio.protmod.ProteinModificationRegistry.register(ProteinModification);12;73;11;59;14;46;3;16;972;3;35;50;16;34;13;13;13;1;0;0;2;0;0.05;org.biojava.nbio.protmod.structure.ProteinModificationRegistryTest.testRegisterModification();2;37;4;24;6;21;9;18;1;0;8;9;5;4;1;1;1;1;0;0;0;0;0.38;0,6000;0,0591;
org.biojava.nbio.core.sequence.MultipleSequenceAlignment.getCompoundsAt(int);3;12;0;7;2;4;5;5;2;0;3;6;3;3;2;2;2;1;0;0;1;0;0.71;org.biojava.nbio.core.sequence.MultipleSequenceAlignmentTest.testGetCompoundsAt();2;14;0;14;5;10;0;8;4;1;12;15;7;8;3;3;3;1;0;0;1;0;0.00;1,0000;0,8000;
org.biojava.nbio.core.util.UncompressInputStream.uncompress(InputStream,OutputStream);5;20;0;13;6;9;7;4;3;0;8;11;5;6;3;3;3;3;2;2;2;2;0.54;org.biojava.nbio.core.util.TestUncompressInputStream.testUncompression();4;25;5;20;7;16;0;12;2;0;13;16;7;9;2;2;2;1;0;0;2;0;0.00;0,9000;0,5000;
org.biojava.nbio.ontology.io.OboParser.parseOBO(BufferedReader,String,String);9;38;9;20;10;12;9;9;3;0;9;11;5;6;3;3;3;3;3;3;1;3;0.45;org.biojava.nbio.ontology.TestOboFileParsing.testParsingHPOOBO();1;31;5;26;10;20;0;20;5;1;18;22;10;12;4;4;4;1;0;0;2;0;0.00;0,6364;0,3333;
org.biojava.nbio.ontology.io.OboParser.parseOBO(BufferedReader,String,String);9;38;9;20;10;12;9;9;3;0;9;11;5;6;3;3;3;3;3;3;1;3;0.45;org.biojava.nbio.ontology.TestOboFileParsing.testParsingBioSapiensOBO();0;15;5;10;6;7;0;9;1;0;8;9;6;3;1;1;1;1;0;0;0;0;0.00;0,6364;0,3333;
org.biojava.nbio.ontology.io.OboParser.parseOBO(BufferedReader,String,String);9;38;9;20;10;12;9;9;3;0;9;11;5;6;3;3;3;3;3;3;1;3;0.45;org.biojava.nbio.ontology.TestParseOBO.testNamespace();1;28;5;23;9;21;0;14;1;0;10;11;7;4;1;1;1;1;0;0;0;0;0.00;0,6364;0,3333;
org.biojava.nbio.ontology.io.OboParser.parseOBO(BufferedReader,String,String);9;38;9;20;10;12;9;9;3;0;9;11;5;6;3;3;3;3;3;3;1;3;0.45;org.biojava.nbio.ontology.TestParseSBO.testSBO();2;24;8;15;6;11;1;12;2;0;10;12;6;6;2;2;2;1;1;0;1;0;0.07;0,6364;0,3333;
org.biojava.nbio.core.sequence.compound.AminoAcidCompoundSet.getCompoundForString(String);28;12;0;12;1;7;0;6;4;1;4;8;1;7;4;4;4;3;2;2;1;2;0.00;org.biojava.nbio.core.alignment.SimpleProfileTest.testGetIndexOf();3;20;0;20;2;18;0;4;1;0;18;19;2;17;1;1;1;1;0;0;0;0;0.00;0,5000;0,2500;
