Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.apache.accumulo.fate.AgeOffStore.ageOff();13;40;4;36;3;26;0;15;16;1;12;23;5;18;9;7;10;1;2;0;4;0;0.00;org.apache.accumulo.fate.AgeOffStoreTest.testBasic();3;51;16;35;8;33;0;11;1;0;32;33;8;25;1;1;1;1;0;0;0;0;0.00;0,6250;0,1538;
org.apache.accumulo.fate.AgeOffStore.create();2;5;0;5;2;3;0;3;1;0;3;4;2;2;1;1;1;1;0;0;0;0;0.00;org.apache.accumulo.fate.AgeOffStoreTest.testBasic();3;51;16;35;8;33;0;11;1;0;32;33;8;25;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.accumulo.fate.AgeOffStore.ageOff();13;40;4;36;3;26;0;15;16;1;12;23;5;18;9;7;10;1;2;0;4;0;0.00;org.apache.accumulo.fate.AgeOffStoreTest.testNonEmpty();4;69;21;47;8;45;1;14;1;0;43;44;8;36;1;1;1;1;0;0;0;0;0.02;0,6667;0,1538;
org.apache.accumulo.core.client.RowIterator.hasNext();14;15;0;8;1;5;7;6;2;0;4;6;1;5;2;2;2;1;0;0;1;0;0.88;org.apache.accumulo.core.client.RowIteratorTest.testUnreadRow();0;20;0;20;4;18;0;11;4;1;14;17;4;13;3;3;3;1;2;0;1;0;0.00;0,6250;0,5000;
org.apache.accumulo.core.client.RowIterator.hasNext();14;15;0;8;1;5;7;6;2;0;4;6;1;5;2;2;2;1;0;0;1;0;0.88;org.apache.accumulo.core.client.RowIteratorTest.testRowIterator();0;37;2;35;4;33;0;14;8;1;27;31;4;27;4;4;4;1;3;0;1;0;0.00;0,6250;0,5000;
org.apache.accumulo.core.clientImpl.Credentials.deserialize(String);4;21;0;13;8;8;8;7;2;0;7;9;6;3;4;4;4;1;0;0;1;0;0.62;org.apache.accumulo.core.security.CredentialsTest.testCredentialsSerialization();1;14;1;13;5;11;0;8;1;0;11;12;5;7;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.accumulo.core.clientImpl.Credentials.toThrift(String);9;19;0;8;3;6;11;10;2;0;3;5;2;3;2;2;2;1;0;0;1;0;1.38;org.apache.accumulo.core.security.CredentialsTest.testToThrift();3;21;1;18;3;15;2;16;2;0;11;13;3;10;2;2;2;1;1;0;1;0;0.11;0,0000;0,0000;
org.apache.accumulo.core.clientImpl.Credentials.toThrift(String);9;19;0;8;3;6;11;10;2;0;3;5;2;3;2;2;2;1;0;0;1;0;1.38;org.apache.accumulo.core.security.CredentialsTest.roundtripThrift();1;6;0;6;4;4;0;4;1;0;4;5;4;1;1;1;1;1;0;0;0;0;0.00;0,8333;1,0000;
org.apache.accumulo.core.clientImpl.DelegationTokenConfigSerializer.deserialize(TDelegationTokenConfig);4;13;0;7;2;4;6;4;2;0;3;5;2;3;2;2;2;1;0;0;1;0;0.86;org.apache.accumulo.core.clientImpl.DelegationTokenConfigSerializerTest.test();2;9;2;7;3;5;0;6;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.00;0,7500;0,5000;
org.apache.accumulo.core.clientImpl.DelegationTokenConfigSerializer.serialize(DelegationTokenConfig);4;11;0;5;2;3;6;4;1;0;3;4;2;2;1;1;1;1;0;0;0;0;1.20;org.apache.accumulo.core.clientImpl.DelegationTokenConfigSerializerTest.test();2;9;2;7;3;5;0;6;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.00;0,0000;0,0000;
org.apache.accumulo.core.conf.CredentialProviderFactoryShim.getConfiguration(Configuration,String);7;14;0;6;1;4;8;3;1;0;4;5;1;4;1;1;1;1;0;0;0;0;1.33;org.apache.accumulo.core.conf.CredentialProviderFactoryShimTest.testConfigurationCreation();2;7;0;7;4;4;1;4;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.14;1,0000;1,0000;
org.apache.accumulo.core.conf.CredentialProviderFactoryShim.getConfiguration(Configuration,String);7;14;0;6;1;4;8;3;1;0;4;5;1;4;1;1;1;1;0;0;0;0;1.33;org.apache.accumulo.core.conf.CredentialProviderFactoryShimTest.existingConfigurationReturned();0;9;0;8;4;5;2;5;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.25;1,0000;1,0000;
org.apache.accumulo.core.conf.CredentialProviderFactoryShim.getValueFromCredentialProvider(Configuration,String);12;20;0;10;1;7;10;5;2;0;5;7;1;6;2;2;2;1;1;0;1;0;1.00;org.apache.accumulo.core.conf.CredentialProviderFactoryShimTest.testNullConfigOnGetValue();0;3;0;3;1;1;0;1;1;0;1;2;1;1;1;1;1;1;0;0;0;0;0.00;0,0000;0,0000;
org.apache.accumulo.core.conf.CredentialProviderFactoryShim.getValueFromCredentialProvider(Configuration,String);12;20;0;10;1;7;10;5;2;0;5;7;1;6;2;2;2;1;1;0;1;0;1.00;org.apache.accumulo.core.conf.CredentialProviderFactoryShimTest.testNullAliasOnGetValue();0;3;0;3;1;1;0;1;1;0;1;2;1;1;1;1;1;1;0;0;0;0;0.00;0,1667;0,0000;
org.apache.accumulo.core.constraints.VisibilityConstraint.check(Environment,Mutation);9;36;10;26;6;21;0;11;32;2;12;22;7;15;9;9;10;6;12;12;4;12;0.00;org.apache.accumulo.core.security.VisibilityConstraintTest.testCachedVisibilities();5;5;0;5;1;3;0;3;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;0,8571;0,3226;
org.apache.accumulo.core.constraints.VisibilityConstraint.check(Environment,Mutation);9;36;10;26;6;21;0;11;32;2;12;22;7;15;9;9;10;6;12;12;4;12;0.00;org.apache.accumulo.core.security.VisibilityConstraintTest.testNoVisibility();4;4;0;4;1;2;0;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.00;0,8929;0,3871;
org.apache.accumulo.core.constraints.VisibilityConstraint.check(Environment,Mutation);9;36;10;26;6;21;0;11;32;2;12;22;7;15;9;9;10;6;12;12;4;12;0.00;org.apache.accumulo.core.security.VisibilityConstraintTest.testMixedVisibilities();7;5;0;5;1;3;0;3;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;0,9286;0,3871;
org.apache.accumulo.core.constraints.VisibilityConstraint.check(Environment,Mutation);9;36;10;26;6;21;0;11;32;2;12;22;7;15;9;9;10;6;12;12;4;12;0.00;org.apache.accumulo.core.security.VisibilityConstraintTest.testVisibilityNoAuth();6;4;0;4;1;2;0;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.00;0,9286;0,4194;
org.apache.accumulo.core.constraints.VisibilityConstraint.check(Environment,Mutation);9;36;10;26;6;21;0;11;32;2;12;22;7;15;9;9;10;6;12;12;4;12;0.00;org.apache.accumulo.core.security.VisibilityConstraintTest.testGoodVisibilityAuth();5;4;0;4;1;2;0;3;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.00;0,9286;0,4516;
org.apache.accumulo.core.data.Column.readFields(DataInput);5;25;2;23;4;18;0;6;8;1;12;16;4;12;4;4;4;1;3;0;1;0;0.00;org.apache.accumulo.core.data.ColumnTest.testWriteReadFields();1;11;2;9;3;6;0;5;2;0;5;8;4;4;2;2;2;1;0;0;1;0;0.00;1,0000;NaN;
org.apache.accumulo.core.data.Column.write(DataOutput);6;25;2;23;1;18;0;3;8;1;12;16;1;15;4;4;4;1;3;0;1;0;0.00;org.apache.accumulo.core.data.ColumnTest.testWriteReadFields();1;11;2;9;3;6;0;5;2;0;5;8;4;4;2;2;2;1;0;0;1;0;0.00;1,0000;NaN;
org.apache.accumulo.core.data.ConditionalMutation.addCondition(Condition);3;4;0;4;1;2;0;2;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.00;org.apache.accumulo.core.data.ConditionalMutationTest.testAddCondition();5;9;0;9;3;7;0;5;1;0;7;8;3;5;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.accumulo.core.data.ConditionalMutation.hashCode();3;5;0;5;2;3;0;3;1;0;3;4;2;2;1;1;1;1;0;0;0;0;0.00;org.apache.accumulo.core.data.ConditionalMutationTest.testHashcode();4;5;0;5;2;3;0;5;1;0;3;4;2;2;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
