Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
com.puppycrawl.tools.checkstyle.Checker.clearCache();4;8;0;5;1;2;3;1;2;0;1;3;1;2;2;2;2;1;0;0;1;0;0.60;com.puppycrawl.tools.checkstyle.CheckerTest.testClearCache();1;26;3;22;8;18;1;23;1;0;17;19;7;12;1;1;1;1;0;0;1;0;0.05;0,0000;NaN;
com.puppycrawl.tools.checkstyle.DefaultConfiguration.addAttribute(String,String);1169;14;0;9;2;5;5;2;2;0;3;5;2;3;2;2;2;1;1;0;1;0;0.56;com.puppycrawl.tools.checkstyle.CheckerTest.testClearCache();1;26;3;22;8;18;1;23;1;0;17;19;7;12;1;1;1;1;0;0;1;0;0.05;1,0000;NaN;
com.puppycrawl.tools.checkstyle.Checker.destroy();20;14;0;14;1;9;0;4;3;0;6;9;1;8;3;3;3;1;1;0;2;0;0.00;com.puppycrawl.tools.checkstyle.CheckerTest.testWithCacheWithNoViolation();2;34;7;25;10;22;2;20;1;0;19;21;9;12;1;1;1;1;0;0;1;0;0.08;0,7500;0,0000;
com.puppycrawl.tools.checkstyle.Checker.setCacheFile(String);6;10;0;5;2;3;5;4;1;0;3;4;2;2;1;1;1;1;0;0;0;0;1.00;com.puppycrawl.tools.checkstyle.CheckerTest.testWithCacheWithNoViolation();2;34;7;25;10;22;2;20;1;0;19;21;9;12;1;1;1;1;0;0;1;0;0.08;1,0000;1,0000;
com.puppycrawl.tools.checkstyle.Checker.fireFileStarted(String);6;13;0;7;3;4;6;3;2;0;3;6;4;2;2;2;2;1;0;0;1;0;0.86;com.puppycrawl.tools.checkstyle.CheckerTest.testRemoveListener();0;40;5;34;5;32;1;15;1;0;27;28;5;23;1;1;1;1;0;0;0;0;0.03;1,0000;1,0000;
com.puppycrawl.tools.checkstyle.Checker.setCacheFile(String);6;10;0;5;2;3;5;4;1;0;3;4;2;2;1;1;1;1;0;0;0;0;1.00;com.puppycrawl.tools.checkstyle.CheckerTest.testFileExtensions();1;34;4;29;11;27;1;22;1;0;23;24;11;13;1;1;1;1;0;0;0;0;0.03;0,0000;0,0000;
com.puppycrawl.tools.checkstyle.DefaultConfiguration.addAttribute(String,String);1169;14;0;9;2;5;5;2;2;0;3;5;2;3;2;2;2;1;1;0;1;0;0.56;com.puppycrawl.tools.checkstyle.CheckerTest.testFileExtensions();1;34;4;29;11;27;1;22;1;0;23;24;11;13;1;1;1;1;0;0;0;0;0.03;1,0000;NaN;
com.puppycrawl.tools.checkstyle.Checker.setCacheFile(String);6;10;0;5;2;3;5;4;1;0;3;4;2;2;1;1;1;1;0;0;0;0;1.00;com.puppycrawl.tools.checkstyle.CheckerTest.testIgnoredFileExtensions();1;29;4;24;10;22;1;18;1;0;20;21;10;11;1;1;1;1;0;0;0;0;0.04;1,0000;1,0000;
com.puppycrawl.tools.checkstyle.DefaultConfiguration.addAttribute(String,String);1169;14;0;9;2;5;5;2;2;0;3;5;2;3;2;2;2;1;1;0;1;0;0.56;com.puppycrawl.tools.checkstyle.CheckerTest.testIgnoredFileExtensions();1;29;4;24;10;22;1;18;1;0;20;21;10;11;1;1;1;1;0;0;0;0;0.04;1,0000;NaN;
com.puppycrawl.tools.checkstyle.DefaultConfiguration.addAttribute(String,String);1169;14;0;9;2;5;5;2;2;0;3;5;2;3;2;2;2;1;1;0;1;0;0.56;com.puppycrawl.tools.checkstyle.TreeWalkerTest.testExternalResourceFiltersWithNoExternalResource();2;17;3;14;9;11;0;7;1;0;11;12;8;4;1;1;1;1;0;0;0;0;0.00;0,5000;NaN;
