Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.apache.commons.math3.complex.Complex.abs();15;29;0;21;3;14;8;4;6;1;8;14;3;11;6;6;6;6;6;6;2;6;0.38;org.apache.commons.math3.complex.ComplexTest.testAbs();0;4;0;4;2;2;0;3;1;0;2;3;2;1;1;1;1;1;0;0;0;0;0.00;0,3846;0,1667;
org.apache.commons.math3.complex.Complex.abs();15;29;0;21;3;14;8;4;6;1;8;14;3;11;6;6;6;6;6;6;2;6;0.38;org.apache.commons.math3.complex.ComplexTest.testAbsNaN();3;5;0;5;2;3;0;4;1;0;3;4;2;2;1;1;1;1;0;0;0;0;0.00;0,4615;0,3333;
org.apache.commons.math3.complex.Complex.abs();15;29;0;21;3;14;8;4;6;1;8;14;3;11;6;6;6;6;6;6;2;6;0.38;org.apache.commons.math3.complex.ComplexTest.testAbsInfinite();2;8;0;8;2;6;0;3;1;0;6;7;2;5;1;1;1;1;0;0;0;0;0.00;0,5385;0,5000;
org.apache.commons.math3.complex.Complex.acos();6;21;1;6;1;3;14;6;2;0;2;4;1;3;2;2;2;1;1;0;1;0;2.33;org.apache.commons.math3.complex.ComplexTest.testAcosInf();9;10;0;10;1;8;0;2;1;0;8;9;1;8;1;1;1;1;0;0;0;0;0.00;0,5000;0,5000;
org.apache.commons.math3.complex.Complex.acos();6;21;1;6;1;3;14;6;2;0;2;4;1;3;2;2;2;1;1;0;1;0;2.33;org.apache.commons.math3.complex.ComplexTest.testAcosNaN();1;3;0;3;1;1;0;3;1;0;1;2;1;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.math3.complex.Complex.acos();6;21;1;6;1;3;14;6;2;0;2;4;1;3;2;2;2;1;1;0;1;0;2.33;org.apache.commons.math3.complex.ComplexTest.testAcos();1;7;0;7;3;5;0;4;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.math3.complex.Complex.add(Complex);16;25;1;8;1;5;16;5;2;0;3;5;1;4;2;2;3;1;1;0;1;0;2.00;org.apache.commons.math3.complex.ComplexTest.testAdd();0;7;0;7;4;5;0;5;1;0;5;6;4;2;1;1;1;1;0;0;0;0;0.00;0,7500;0,5000;
org.apache.commons.math3.complex.Complex.add(Complex);16;25;1;8;1;5;16;5;2;0;3;5;1;4;2;2;3;1;1;0;1;0;2.00;org.apache.commons.math3.complex.ComplexTest.testScalarAdd();0;6;0;6;4;4;0;5;1;0;4;5;4;1;1;1;1;1;0;0;0;0;0.00;0,7500;0,5000;
org.apache.commons.math3.complex.Complex.add(Complex);16;25;1;8;1;5;16;5;2;0;3;5;1;4;2;2;3;1;1;0;1;0;2.00;org.apache.commons.math3.complex.ComplexTest.testScalarAddInf();2;10;2;8;4;6;0;5;1;0;6;7;4;3;1;1;1;1;0;0;0;0;0.00;0,7500;0,5000;
org.apache.commons.math3.complex.Complex.add(Complex);16;25;1;8;1;5;16;5;2;0;3;5;1;4;2;2;3;1;1;0;1;0;2.00;org.apache.commons.math3.complex.ComplexTest.testScalarAddNaN();1;6;0;6;4;4;0;5;1;0;4;5;4;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.math3.complex.Complex.add(Complex);16;25;1;8;1;5;16;5;2;0;3;5;1;4;2;2;3;1;1;0;1;0;2.00;org.apache.commons.math3.complex.ComplexTest.testAddInf();2;10;1;9;4;7;0;7;1;0;7;8;4;4;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.math3.complex.Complex.add(Complex);16;25;1;8;1;5;16;5;2;0;3;5;1;4;2;2;3;1;1;0;1;0;2.00;org.apache.commons.math3.complex.ComplexTest.testAddNaN();2;8;0;8;4;6;0;3;1;0;6;7;4;3;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.math3.complex.Complex.asin();6;21;1;6;1;3;14;6;2;0;2;4;1;3;2;2;2;1;1;0;1;0;2.33;org.apache.commons.math3.complex.ComplexTest.testAsin();0;5;0;5;3;3;0;3;1;0;3;4;3;1;1;1;1;1;0;0;0;0;0.00;0,5000;0,5000;
org.apache.commons.math3.complex.Complex.asin();6;21;1;6;1;3;14;6;2;0;2;4;1;3;2;2;2;1;1;0;1;0;2.33;org.apache.commons.math3.complex.ComplexTest.testAsinInf();9;10;0;10;1;8;0;2;1;0;8;9;1;8;1;1;1;1;0;0;0;0;0.00;0,5000;0,5000;
org.apache.commons.math3.complex.Complex.asin();6;21;1;6;1;3;14;6;2;0;2;4;1;3;2;2;2;1;1;0;1;0;2.33;org.apache.commons.math3.complex.ComplexTest.testAsinNaN();1;3;0;3;1;1;0;3;1;0;1;2;1;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.math3.complex.Complex.atan();7;22;1;7;1;4;14;7;2;0;2;4;1;3;2;2;2;1;1;0;1;0;2.00;org.apache.commons.math3.complex.ComplexTest.testAtanI();1;3;0;3;1;1;0;3;1;0;1;2;1;1;1;1;1;1;0;0;0;0;0.00;0,6667;0,5000;
