Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.apache.commons.text.RandomStringGenerator.generate(int);24;67;6;38;5;28;23;10;29;1;16;25;6;19;11;9;12;7;7;6;4;5;0.61;org.apache.commons.text.RandomStringGeneratorTest.testWithinMultipleRanges();0;21;3;18;9;15;0;10;2;0;12;15;9;6;3;3;4;1;0;0;1;0;0.00;0,3429;0,0000;
org.apache.commons.text.RandomStringGenerator.generate(int);24;67;6;38;5;28;23;10;29;1;16;25;6;19;11;9;12;7;7;6;4;5;0.61;org.apache.commons.text.RandomStringGeneratorTest.testSelectFromCharArray();0;11;2;9;5;6;0;7;2;0;5;8;6;2;2;2;2;1;0;0;1;0;0.00;0,3429;0,0000;
org.apache.commons.text.RandomStringGenerator.generate(int);24;67;6;38;5;28;23;10;29;1;16;25;6;19;11;9;12;7;7;6;4;5;0.61;org.apache.commons.text.RandomStringGeneratorTest.testSelectFromCharVarargs();0;8;0;8;4;5;0;7;2;0;4;7;5;2;2;2;2;1;0;0;1;0;0.00;0,3429;0,0000;
org.apache.commons.text.RandomStringGenerator.generate(int);24;67;6;38;5;28;23;10;29;1;16;25;6;19;11;9;12;7;7;6;4;5;0.61;org.apache.commons.text.RandomStringGeneratorTest.testWithinRange();0;15;1;14;9;12;0;8;1;0;10;11;8;3;2;2;3;1;0;0;1;0;0.00;0,4286;0,0000;
org.apache.commons.text.RandomStringGenerator.generate(int);24;67;6;38;5;28;23;10;29;1;16;25;6;19;11;9;12;7;7;6;4;5;0.61;org.apache.commons.text.RandomStringGeneratorTest.testSetLength();0;6;0;6;4;4;0;5;1;0;4;5;4;1;1;1;1;1;0;0;0;0;0.00;0,5429;0,0040;
org.apache.commons.text.RandomStringGenerator.generate(int);24;67;6;38;5;28;23;10;29;1;16;25;6;19;11;9;12;7;7;6;4;5;0.61;org.apache.commons.text.RandomStringGeneratorTest.testZeroLength();0;4;0;4;2;2;0;4;1;0;2;3;2;1;1;1;1;1;0;0;0;0;0.00;0,5714;0,0079;
org.apache.commons.text.RandomStringGenerator.generate(int,int);5;20;0;6;1;4;14;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;2.33;org.apache.commons.text.RandomStringGeneratorTest.testGenerateMinMaxLength();0;7;0;7;5;5;0;5;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.text.StrBuilder.append(boolean);5;23;0;17;1;14;6;4;2;0;12;14;1;13;2;2;2;1;1;0;1;0;0.35;org.apache.commons.text.StrBuilderAppendInsertTest.testAppend_Boolean();0;11;2;9;2;7;0;6;1;0;7;8;2;6;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.text.StrBuilder.append(char);10;12;0;6;2;4;6;5;1;0;4;5;2;3;1;1;1;1;0;0;0;0;1.00;org.apache.commons.text.StrBuilderAppendInsertTest.testAppend_Boolean();0;11;2;9;2;7;0;6;1;0;7;8;2;6;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.text.StrBuilder.append(CharBuffer);7;22;0;15;3;11;7;13;3;0;8;11;3;8;3;3;3;1;2;0;1;0;0.47;org.apache.commons.text.StrBuilderTest.testAppendCharBufferException();2;21;2;19;4;15;0;11;4;1;11;14;4;10;3;3;3;1;2;0;1;0;0.00;0,6364;0,3333;
