Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.apache.dubbo.common.URLBuilder.addParameter(String,String);37;8;1;7;1;4;0;3;2;0;3;5;1;4;2;2;3;1;1;0;1;0;0.00;org.apache.dubbo.common.URLBuilderTest.shouldAddParameter();0;11;0;11;4;9;4;8;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.36;0,6667;0,5000;
org.apache.dubbo.common.URLBuilder.from(URL);26;19;0;19;9;17;0;11;1;0;9;10;9;1;1;1;1;1;0;0;0;0;0.00;org.apache.dubbo.common.URLBuilderTest.shouldAddParameter();0;11;0;11;4;9;4;8;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.36;1,0000;1,0000;
org.apache.dubbo.common.URLBuilder.addParameterIfAbsent(String,String);6;10;0;10;1;6;0;4;3;0;4;7;1;6;3;3;4;3;2;2;1;2;0.00;org.apache.dubbo.common.URLBuilderTest.shouldAddIfAbsent();0;9;0;9;4;7;2;7;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.22;0,6000;0,3333;
org.apache.dubbo.common.URLBuilder.build();43;23;0;22;2;15;1;12;28;1;8;15;2;13;8;8;10;1;2;0;2;0;0.05;org.apache.dubbo.common.URLBuilderTest.shouldAddIfAbsent();0;9;0;9;4;7;2;7;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.22;0,4444;0,0556;
org.apache.dubbo.common.URLBuilder.from(URL);26;19;0;19;9;17;0;11;1;0;9;10;9;1;1;1;1;1;0;0;0;0;0.00;org.apache.dubbo.common.URLBuilderTest.shouldAddIfAbsent();0;9;0;9;4;7;2;7;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.22;1,0000;1,0000;
org.apache.dubbo.common.URLBuilder.build();43;23;0;22;2;15;1;12;28;1;8;15;2;13;8;8;10;1;2;0;2;0;0.05;org.apache.dubbo.common.URLBuilderTest.shouldSet();0;23;1;22;4;20;1;18;1;0;11;12;3;9;1;1;1;1;0;0;0;0;0.05;0,4444;0,0556;
org.apache.dubbo.common.URLBuilder.from(URL);26;19;0;19;9;17;0;11;1;0;9;10;9;1;1;1;1;1;0;0;0;0;0.00;org.apache.dubbo.common.URLBuilderTest.shouldSet();0;23;1;22;4;20;1;18;1;0;11;12;3;9;1;1;1;1;0;0;0;0;0.05;1,0000;1,0000;
org.apache.dubbo.common.URLBuilder.setAddress(String);4;14;0;14;4;10;0;7;2;0;9;11;4;7;2;2;2;1;1;0;1;0;0.00;org.apache.dubbo.common.URLBuilderTest.shouldSet();0;23;1;22;4;20;1;18;1;0;11;12;3;9;1;1;1;1;0;0;0;0;0.05;0,7273;0,5000;
org.apache.dubbo.common.URLBuilder.setHost(String);6;4;0;4;1;2;0;2;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.00;org.apache.dubbo.common.URLBuilderTest.shouldSet();0;23;1;22;4;20;1;18;1;0;11;12;3;9;1;1;1;1;0;0;0;0;0.05;1,0000;1,0000;
org.apache.dubbo.common.URLBuilder.setPassword(String);2;4;0;4;1;2;0;2;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.00;org.apache.dubbo.common.URLBuilderTest.shouldSet();0;23;1;22;4;20;1;18;1;0;11;12;3;9;1;1;1;1;0;0;0;0;0.05;1,0000;1,0000;
