Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
net.objecthunter.exp4j.Expression.getVariableNames();5;8;0;8;2;5;0;4;3;0;3;7;3;4;3;3;3;1;0;0;2;0;0.00;net.objecthunter.exp4j.ExpressionTest.testGetVariableNames1();0;10;1;9;4;6;0;7;1;0;3;4;3;1;1;1;1;1;0;0;0;0;0.00;1,0000;0,8750;
net.objecthunter.exp4j.operator.Operators.getBuiltinOperator(char,int);15;26;0;26;1;21;0;1;9;1;9;13;1;12;9;4;9;9;34;34;2;34;0.00;net.objecthunter.exp4j.ExpressionTest.testGetVariableNames1();0;10;1;9;4;6;0;7;1;0;3;4;3;1;1;1;1;1;0;0;0;0;0.00;0,1000;0,0000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder01();0;9;0;9;4;7;0;6;1;0;3;4;3;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression11();0;12;0;12;7;10;0;9;1;0;6;7;6;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression17();0;12;0;12;7;10;0;6;1;0;6;7;6;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression21();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression21();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression22();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression22();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression23();0;10;0;10;6;8;0;9;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression23();0;10;0;10;6;8;0;9;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression31();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression31();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression32();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression32();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression33();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression33();0;10;0;10;6;8;0;8;1;0;5;6;5;1;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression53();0;9;0;9;4;7;0;9;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression53();0;9;0;9;4;7;0;9;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression54();0;8;0;8;4;6;0;6;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression54();0;8;0;8;4;6;0;6;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder02();0;9;0;9;4;7;0;6;1;0;3;4;3;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression55();0;8;0;8;4;6;0;7;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression55();0;8;0;8;4;6;0;7;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression56();0;8;0;8;4;6;0;7;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
net.objecthunter.exp4j.ExpressionBuilder.build();182;22;0;16;1;11;6;8;6;1;7;12;2;10;4;4;5;1;0;0;2;0;0.38;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression56();0;8;0;8;4;6;0;7;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.00;0,9091;0,5000;
net.objecthunter.exp4j.Expression.setVariable(String,double);61;5;0;5;1;3;0;4;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression62();0;7;0;7;3;5;0;7;1;0;2;3;2;1;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
