Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
com.urbanairship.api.channel.ChannelRequest.newSmsLookupRequest(String,String);4;13;1;5;1;3;7;3;1;0;3;4;1;3;1;1;1;1;0;0;0;0;1.40;com.urbanairship.api.channel.ChannelRequestTest.testSmsUri();0;11;3;8;6;6;2;4;1;0;6;7;6;1;1;1;1;1;0;0;0;0;0.25;1,0000;1,0000;
com.urbanairship.api.channel.ChannelTagRequest.getRequestBody();16;28;5;23;2;16;0;10;32;2;10;16;2;14;6;6;9;1;1;0;1;0;0.00;com.urbanairship.api.channel.ChannelTagRequestTest.testRemoveTags();1;31;5;26;11;24;0;10;1;0;9;10;9;1;1;1;1;1;0;0;0;0;0.00;0,6842;0,0313;
com.urbanairship.api.channel.ChannelTagRequest.getRequestBody();16;28;5;23;2;16;0;10;32;2;10;16;2;14;6;6;9;1;1;0;1;0;0.00;com.urbanairship.api.channel.ChannelTagRequestTest.testAddAndRemoveTags();1;43;6;37;12;35;0;12;1;0;10;11;10;1;1;1;1;1;0;0;0;0;0.00;0,8421;0,0625;
com.urbanairship.api.channel.ChannelTagRequest.getRequestBody();16;28;5;23;2;16;0;10;32;2;10;16;2;14;6;6;9;1;1;0;1;0;0.00;com.urbanairship.api.channel.ChannelTagRequestTest.testSetTags();1;34;5;29;12;27;0;11;1;0;10;11;10;1;1;1;1;1;0;0;0;0;0.00;0,8947;0,0938;
com.urbanairship.api.channel.ChannelTagRequest.getRequestBody();16;28;5;23;2;16;0;10;32;2;10;16;2;14;6;6;9;1;1;0;1;0;0.00;com.urbanairship.api.channel.ChannelTagRequestTest.testAddTagsBody();1;30;4;26;11;24;0;10;1;0;9;10;9;1;1;1;1;1;0;0;0;0;0.00;0,8947;0,1250;
com.urbanairship.api.channel.ChannelTagRequest.getRequestBody();16;28;5;23;2;16;0;10;32;2;10;16;2;14;6;6;9;1;1;0;1;0;0.00;com.urbanairship.api.channel.ChannelTagRequestTest.testAddAndSetTags();0;7;0;7;3;5;0;8;1;0;2;3;2;1;1;1;1;1;0;0;0;0;0.00;0,8421;0,0313;
com.urbanairship.api.channel.ChannelTagRequest.getRequestBody();16;28;5;23;2;16;0;10;32;2;10;16;2;14;6;6;9;1;1;0;1;0;0.00;com.urbanairship.api.channel.ChannelTagRequestTest.testRemoveAndSetTags();0;7;0;7;3;5;0;8;1;0;2;3;2;1;1;1;1;1;0;0;0;0;0.00;0,5263;0,0000;
com.urbanairship.api.channel.ChannelTagRequest.getRequestBody();16;28;5;23;2;16;0;10;32;2;10;16;2;14;6;6;9;1;1;0;1;0;0.00;com.urbanairship.api.channel.ChannelTagRequestTest.testNoTagMutations();0;5;0;5;3;3;0;5;1;0;2;3;2;1;1;1;1;1;0;0;0;0;0.00;0,7368;0,0313;
com.urbanairship.api.client.AsyncRequestClient.close();4;7;0;4;1;2;3;2;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.75;com.urbanairship.api.client.UrbanAirshipClientTest.testAPIClientBuilderWithOptionalProxyInfo();1;20;4;16;7;14;0;17;1;0;8;9;4;5;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
com.urbanairship.api.client.AsyncRequestClient.close();4;7;0;4;1;2;3;2;1;0;2;3;1;2;1;1;1;1;0;0;0;0;0.75;com.urbanairship.api.client.UrbanAirshipClientTest.testAPIClientBuilderWithParams();0;13;4;9;5;7;0;8;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
