Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.jfree.chart.ChartFactory.createBarChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean);25;63;4;39;19;31;20;16;12;1;19;24;10;14;5;5;5;1;1;0;1;0;0.51;org.jfree.chart.axis.NumberAxisTest.testAutoRange4();2;47;6;36;8;34;5;12;1;0;32;33;7;26;1;1;1;1;0;0;0;0;0.14;0,5882;0,0833;
org.jfree.chart.axis.NumberAxis.setAutoRangeIncludesZero(boolean);29;22;0;9;1;5;13;5;3;0;3;6;1;5;3;3;3;1;0;0;2;0;1.44;org.jfree.chart.axis.NumberAxisTest.testAutoRange4();2;47;6;36;8;34;5;12;1;0;32;33;7;26;1;1;1;1;0;0;0;0;0.14;0,8000;NaN;
org.jfree.chart.renderer.category.BarRenderer.setIncludeBaseInRange(boolean);7;18;0;6;1;3;12;2;2;0;2;4;1;3;2;2;2;1;0;0;1;0;2.00;org.jfree.chart.axis.NumberAxisTest.testAutoRange4();2;47;6;36;8;34;5;12;1;0;32;33;7;26;1;1;1;1;0;0;0;0;0.14;1,0000;NaN;
org.jfree.chart.ChartFactory.createBarChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean);25;63;4;39;19;31;20;16;12;1;19;24;10;14;5;5;5;1;1;0;1;0;0.51;org.jfree.chart.plot.CategoryPlotTest.testSerialization3();1;18;1;13;5;9;4;5;2;0;5;7;4;3;2;2;2;1;1;0;1;0;0.31;0,6765;0,1667;
org.jfree.chart.ChartFactory.createBarChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean);25;63;4;39;19;31;20;16;12;1;19;24;10;14;5;5;5;1;1;0;1;0;0.51;org.jfree.chart.plot.CategoryPlotTest.testSerialization4();3;22;1;17;6;13;4;10;2;0;9;11;5;6;2;2;2;1;1;0;1;0;0.24;0,6765;0,1667;
org.jfree.chart.ChartFactory.createBoxAndWhiskerChart(String,String,String,BoxAndWhiskerXYDataset,boolean);8;28;2;13;9;9;13;8;1;0;8;9;6;3;1;1;1;1;0;0;0;0;1.00;org.jfree.chart.renderer.xy.XYBoxAndWhiskerRendererTest.test2909215();1;22;0;19;8;15;3;11;2;0;8;10;5;5;2;2;2;1;1;0;1;0;0.16;1,0000;1,0000;
org.jfree.chart.JFreeChart.draw(Graphics2D,Rectangle2D,Point2D,ChartRenderingInfo);58;120;14;89;21;71;17;43;6912;4;43;59;16;43;16;16;20;1;0;0;3;0;0.19;org.jfree.chart.renderer.xy.XYBoxAndWhiskerRendererTest.test2909215();1;22;0;19;8;15;3;11;2;0;8;10;5;5;2;2;2;1;1;0;1;0;0.16;0,6000;0,0018;
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset.add(Date,BoxAndWhiskerItem);13;32;0;25;1;17;7;9;9;1;8;13;1;12;5;5;5;1;2;0;2;0;0.28;org.jfree.chart.renderer.xy.XYBoxAndWhiskerRendererTest.test2909215();1;22;0;19;8;15;3;11;2;0;8;10;5;5;2;2;2;1;1;0;1;0;0.16;0,4000;0,1111;
org.jfree.chart.ChartFactory.createLineChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean);16;47;3;24;11;17;20;13;4;1;11;14;6;8;3;3;3;1;0;0;1;0;0.83;org.jfree.chart.axis.LogAxisTest.testAutoRange3();2;26;1;19;7;17;6;10;1;0;15;16;6;10;1;1;1;1;0;0;0;0;0.32;0,6667;0,2500;
org.jfree.chart.ChartFactory.createLineChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean);16;47;3;24;11;17;20;13;4;1;11;14;6;8;3;3;3;1;0;0;1;0;0.83;org.jfree.chart.axis.ValueAxisTest.test3555275();3;23;0;19;12;17;4;16;1;0;15;16;10;6;1;1;1;1;0;0;0;0;0.21;0,6667;0,2500;
