Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.apache.tika.Tika.toString();8;19;2;17;3;12;0;4;6;1;6;10;3;7;4;4;4;1;2;0;2;0;0.00;org.apache.tika.TikaIT.testToString();0;6;0;6;2;4;0;5;1;0;3;4;2;2;1;1;1;1;0;0;0;0;0.00;0,3846;0,0000;
org.apache.tika.fork.ContentHandlerProxy.skippedEntity(String);3;5;0;5;1;3;0;3;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.00;org.apache.tika.fork.ForkParserTest.testNoUTFDataFormatException();0;10;0;10;4;7;0;5;2;0;8;10;5;5;2;2;2;1;0;0;1;0;0.00;1,0000;1,0000;
org.apache.tika.io.EndianUtils.readUE7(InputStream);3;23;0;17;3;11;6;2;6;1;8;12;3;9;4;4;4;3;3;2;2;1;0.35;org.apache.tika.io.EndianUtilsTest.testReadUE7();0;12;3;9;2;6;0;2;1;0;7;8;2;6;1;1;1;1;0;0;0;0;0.00;0,7857;0,3182;
org.apache.tika.io.EndianUtils.readUIntBE(InputStream);3;18;0;10;5;7;8;3;2;0;6;8;5;3;2;2;2;1;0;0;1;0;0.80;org.apache.tika.io.EndianUtilsTest.testReadUIntBE();0;15;3;12;2;9;0;4;2;0;7;9;2;7;2;2;2;1;1;0;1;0;0.00;0,8333;0,5000;
org.apache.tika.io.EndianUtils.readUIntLE(InputStream);4;18;0;10;5;7;8;3;2;0;6;8;5;3;2;2;2;1;0;0;1;0;0.80;org.apache.tika.io.EndianUtilsTest.testReadUIntBE();0;15;3;12;2;9;0;4;2;0;7;9;2;7;2;2;2;1;1;0;1;0;0.00;0,8333;0,5000;
org.apache.tika.io.EndianUtils.readUIntLE(InputStream);4;18;0;10;5;7;8;3;2;0;6;8;5;3;2;2;2;1;0;0;1;0;0.80;org.apache.tika.io.EndianUtilsTest.testReadUIntLE();0;15;3;12;2;9;0;3;2;0;7;9;2;7;2;2;2;1;1;0;1;0;0.00;1,0000;1,0000;
org.apache.tika.io.FilenameUtils.normalize(String);8;30;3;14;2;9;13;7;6;1;5;10;3;7;5;5;5;1;1;0;2;0;0.93;org.apache.tika.io.FilenameUtilsTest.normalizeWithNull();1;9;0;9;1;6;0;5;2;0;4;6;1;5;2;2;4;1;1;0;1;0;0.00;0,1000;0,0667;
org.apache.tika.io.FilenameUtils.normalize(String);8;30;3;14;2;9;13;7;6;1;5;10;3;7;5;5;5;1;1;0;2;0;0.93;org.apache.tika.io.FilenameUtilsTest.normalizeWithNotPrintableChars();0;15;1;14;5;10;0;2;1;0;3;4;3;1;1;1;1;1;0;0;0;0;0.00;0,9000;0,6000;
org.apache.tika.io.FilenameUtils.normalize(String);8;30;3;14;2;9;13;7;6;1;5;10;3;7;5;5;5;1;1;0;2;0;0.93;org.apache.tika.io.FilenameUtilsTest.normalizeWithReservedChar();1;13;1;11;7;4;1;2;2;0;5;7;4;3;2;2;2;1;0;0;1;0;0.09;0,9000;0,8000;
org.apache.tika.io.FilenameUtils.normalize(String);8;30;3;14;2;9;13;7;6;1;5;10;3;7;5;5;5;1;1;0;2;0;0.93;org.apache.tika.io.FilenameUtilsTest.normalizeWithReservedChars();0;8;1;7;5;3;0;2;1;0;3;4;3;1;1;1;1;1;0;0;0;0;0.00;0,9000;0,8000;
org.apache.tika.io.FilenameUtils.normalize(String);8;30;3;14;2;9;13;7;6;1;5;10;3;7;5;5;5;1;1;0;2;0;0.93;org.apache.tika.io.FilenameUtilsTest.normalizeNothingTodo();0;16;1;4;2;2;11;2;1;0;2;3;2;1;1;1;1;1;0;0;0;0;2.75;0,9000;0,8000;
org.apache.tika.io.IOUtils.toInputStream(String,String);3;17;0;4;2;2;13;2;1;0;2;3;2;1;2;2;2;1;0;0;0;0;3.25;org.apache.tika.io.TikaInputStreamTest.testStreamBased();0;23;4;19;4;17;0;12;1;0;8;9;4;5;1;1;2;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.tika.io.TailStream.getTail();13;18;0;10;3;7;8;3;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.80;org.apache.tika.io.TailStreamTest.testTailBeforeRead();1;9;0;6;2;3;3;5;1;0;3;4;2;2;1;1;1;1;0;0;0;0;0.50;1,0000;1,0000;
org.apache.tika.io.TailStream.getTail();13;18;0;10;3;7;8;3;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.80;org.apache.tika.io.TailStreamTest.testTailBufferPartlyRead();0;11;0;8;4;5;3;7;1;0;5;6;4;2;1;1;1;1;0;0;0;0;0.38;1,0000;1,0000;
org.apache.tika.io.TailStream.mark(int);6;12;0;7;1;4;5;4;1;0;4;5;1;4;1;1;1;1;0;0;0;0;0.71;org.apache.tika.io.TailStreamTest.testReadWithMarkAndReset();1;17;0;14;5;10;3;9;1;0;9;10;4;6;1;1;1;1;0;0;0;0;0.21;1,0000;1,0000;
org.apache.tika.io.TailStream.read(byte[]);4;14;0;9;2;4;5;3;2;0;3;5;2;3;2;2;2;1;0;0;1;0;0.56;org.apache.tika.io.TailStreamTest.testReadWithMarkAndReset();1;17;0;14;5;10;3;9;1;0;9;10;4;6;1;1;1;1;0;0;0;0;0.21;1,0000;1,0000;
org.apache.tika.io.TailStream.reset();7;14;0;9;1;4;5;3;2;0;3;5;1;4;2;2;2;1;0;0;1;0;0.56;org.apache.tika.io.TailStreamTest.testReadWithMarkAndReset();1;17;0;14;5;10;3;9;1;0;9;10;4;6;1;1;1;1;0;0;0;0;0.21;1,0000;NaN;
org.apache.tika.io.TailStream.read(byte[]);4;14;0;9;2;4;5;3;2;0;3;5;2;3;2;2;2;1;0;0;1;0;0.56;org.apache.tika.io.TailStreamTest.testTailChunkReads();1;20;0;17;7;12;3;8;2;0;10;12;7;5;2;2;2;1;0;0;1;0;0.18;1,0000;1,0000;
org.apache.tika.io.TailStream.read(byte[],int,int);5;14;0;9;2;4;5;3;2;0;3;5;2;3;2;2;2;1;0;0;1;0;0.56;org.apache.tika.io.TailStreamTest.testTailChunkReads();1;20;0;17;7;12;3;8;2;0;10;12;7;5;2;2;2;1;0;0;1;0;0.18;0,7500;0,5000;
org.apache.tika.io.TailStream.read(byte[]);4;14;0;9;2;4;5;3;2;0;3;5;2;3;2;2;2;1;0;0;1;0;0.56;org.apache.tika.io.TailStreamTest.testResetWithoutMark();1;15;0;12;5;9;3;8;1;0;8;9;5;4;1;1;1;1;0;0;0;0;0.25;1,0000;1,0000;
org.apache.tika.io.TailStream.reset();7;14;0;9;1;4;5;3;2;0;3;5;1;4;2;2;2;1;0;0;1;0;0.56;org.apache.tika.io.TailStreamTest.testResetWithoutMark();1;15;0;12;5;9;3;8;1;0;8;9;5;4;1;1;1;1;0;0;0;0;0.25;0,0000;NaN;
org.apache.tika.io.TailStream.skip(long);5;23;2;17;6;10;4;3;3;0;8;11;6;5;4;4;6;1;0;0;2;0;0.24;org.apache.tika.io.TailStreamTest.testSkip();1;15;0;12;5;9;3;7;1;0;7;8;5;3;1;1;1;1;0;0;0;0;0.25;0,3636;0,0000;
org.apache.tika.io.TailStream.skip(long);5;23;2;17;6;10;4;3;3;0;8;11;6;5;4;4;6;1;0;0;2;0;0.24;org.apache.tika.io.TailStreamTest.testSkipReadEnd();0;10;0;7;3;4;3;5;1;0;4;5;3;2;1;1;1;1;0;0;0;0;0.43;0,3636;0,0000;
org.apache.tika.io.TailStream.skip(long);5;23;2;17;6;10;4;3;3;0;8;11;6;5;4;4;6;1;0;0;2;0;0.24;org.apache.tika.io.TailStreamTest.testSkipEOS();1;12;0;9;3;6;3;7;1;0;5;6;3;3;1;1;1;1;0;0;0;0;0.33;0,3636;0,0000;
org.apache.tika.io.TemporaryResources.close();9;32;1;18;2;12;13;3;8;1;6;12;3;9;5;5;5;1;2;0;3;0;0.72;org.apache.tika.io.TemporaryResourcesTest.testFileDeletion();0;8;0;8;2;4;0;4;1;0;4;6;2;4;1;1;1;1;0;0;1;0;0.00;0,4286;0,2500;
org.apache.tika.io.TemporaryResources.createTempFile();8;24;0;16;3;12;8;3;1;0;6;9;3;6;2;2;2;1;0;0;0;0;0.50;org.apache.tika.io.TemporaryResourcesTest.testFileDeletion();0;8;0;8;2;4;0;4;1;0;4;6;2;4;1;1;1;1;0;0;1;0;0.00;0,2222;NaN;
