Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Static Method,demo.AFPFromFasta.main(String[]),1,15,0,15,10,13,0,9,1,0,13,14,10,4,1,1,1,1,0,0,0,0,0.00
Public Static Method,demo.AlignmentGuiDemo.main(String[]),0,5,1,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Static Method,demo.BioJavaAADemo.main(String[]),1,7,2,5,3,3,0,3,1,0,3,4,3,1,1,1,1,1,0,0,0,0,0.00
Public Static Method,demo.ChemCompDistribution.main(String[]),0,7,2,5,2,3,0,3,1,0,3,4,2,2,1,1,1,1,0,0,0,0,0.00
Public Static Method,demo.CookBook.main(String[]),3,64,24,22,11,19,18,15,2,0,17,19,11,8,2,2,2,1,1,0,1,0,0.82
Private Static Method,demo.CookbookMSA.getSequenceForId(String),3,10,2,8,3,6,1,11,1,0,6,7,3,4,1,1,1,1,0,0,0,0,0.13
Public Static Method,demo.CookbookMSA.main(String[]),0,4,0,4,2,2,0,1,1,0,2,3,2,1,1,1,1,1,0,0,0,0,0.00
Private Static Method,demo.CookbookMSA.multipleSequenceAlignment(String[]),3,11,1,10,3,7,0,8,2,0,6,9,4,5,2,2,2,1,0,0,1,0,0.00
Private Static Method,demo.DemoAlignProteins.getSequenceForId(String),3,8,1,7,3,5,1,10,1,0,5,6,3,3,1,1,1,1,0,0,0,0,0.14
Public Static Method,demo.DemoAlignProteins.main(String[]),2,28,12,16,12,13,0,9,1,0,13,14,11,3,1,1,1,1,0,0,0,0,0.00
Public Static Method,demo.DemoAlignmentFromFasta.getAlignmentFromFasta(),6,78,14,50,16,40,14,16,7,1,30,35,15,20,6,6,6,5,9,8,1,8,0.28
Public Static Method,demo.DemoAlignmentFromFasta.main(String[]),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Private Static Method,"demo.DemoAsa.demoAsa(String,int)",6,60,22,37,10,32,1,15,8,1,25,30,12,18,4,4,4,1,0,0,1,0,0.03
Public Static Method,demo.DemoAsa.main(String[]),1,7,2,5,3,3,0,2,1,0,3,4,3,1,1,1,1,1,0,0,0,0,0.00
Private Static Method,demo.DemoAtomCache.demoAtomCache(),4,31,7,21,5,16,3,10,4,1,12,17,6,11,4,4,4,4,3,3,3,3,0.14
Private Static Method,demo.DemoAtomCache.demoStructureIO(),2,14,5,8,3,5,1,3,2,0,3,5,3,2,2,2,2,1,1,0,1,0,0.13
Public Static Method,demo.DemoAtomCache.main(String[]),0,5,1,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Static Method,demo.DemoBerkeleyScop.main(String[]),1,29,11,12,4,10,6,10,1,0,10,11,4,7,1,1,1,1,0,0,0,0,0.50
Private Static Method,demo.DemoBioAssemblies.findQuatSym(Structure),3,10,2,7,5,5,1,5,1,0,4,5,4,1,1,1,1,1,0,0,0,0,0.14
Public Static Method,demo.DemoBioAssemblies.main(String[]),1,23,7,14,4,10,2,7,4,1,10,14,6,8,3,3,3,1,0,0,1,0,0.14
Public Static Method,demo.DemoCATH.main(String[]),2,26,11,14,6,10,1,7,2,0,9,11,6,5,2,2,2,1,1,0,1,0,0.07
