Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Private Constructor,InputFinalClassClassWithPrivateCtorWithNestedExtendingClassWithoutPackage.A.A(),0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
Private Constructor,InputFinalClassClassWithPrivateCtorWithNestedExtendingClassWithoutPackage.C.C(),0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
Protected Method,com.google.checkstyle.test.base.AbstractGoogleModuleTestSupport.createModuleConfig(Class<?>),1,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Protected Method,com.google.checkstyle.test.base.AbstractGoogleModuleTestSupport.findModuleCreationOption(String),2,16,2,14,2,9,0,5,4,1,4,9,3,6,4,4,6,3,2,2,3,2,0.00
Protected Static Method,com.google.checkstyle.test.base.AbstractGoogleModuleTestSupport.getModuleConfig(String),105,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Protected Static Method,"com.google.checkstyle.test.base.AbstractGoogleModuleTestSupport.getModuleConfig(String,String)",18,34,1,26,3,17,7,9,4,1,9,14,3,11,4,4,4,1,3,0,2,0,0.27
Lambda Method,com.google.checkstyle.test.base.AbstractGoogleModuleTestSupport.getModuleConfig.(lambda_expr_1)(),3,8,0,8,0,5,0,3,2,0,2,3,0,3,2,2,2,1,1,0,0,0,0.00
Lambda Method,com.google.checkstyle.test.base.AbstractGoogleModuleTestSupport.getModuleConfig.(lambda_expr_2)(),0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Protected Static Method,com.google.checkstyle.test.base.AbstractGoogleModuleTestSupport.getModuleConfigs(String),3,21,0,16,2,9,5,5,6,1,4,12,4,8,6,6,6,1,1,0,4,0,0.31
Public Method,com.google.checkstyle.test.base.AbstractIndentationTestSupport.CommentType.valueOf(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.base.AbstractIndentationTestSupport.CommentType.values(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Private Static Method,com.google.checkstyle.test.base.AbstractIndentationTestSupport.getCommentType(String),9,20,0,20,5,13,0,3,4,1,8,12,5,7,4,4,4,1,2,0,3,0,0.00
Private Static Method,com.google.checkstyle.test.base.AbstractIndentationTestSupport.getIndentFromComment(String),4,5,0,5,2,3,0,5,1,0,3,4,2,2,1,1,1,1,0,0,0,0,0.00
