Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Constructor,org.apache.commons.collections4.AbstractArrayListTest.AbstractArrayListTest(String),2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Abstract Method,org.apache.commons.collections4.AbstractArrayListTest.makeObject(),2,4,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3.00
Public Method,org.apache.commons.collections4.AbstractArrayListTest.testNewArrayList(),0,12,1,10,2,7,1,7,2,0,5,7,2,5,2,2,2,1,1,0,1,0,0.10
Public Method,org.apache.commons.collections4.AbstractArrayListTest.testSearch(),0,7,0,7,2,5,0,4,1,0,5,6,2,4,1,1,1,1,0,0,0,0,0.00
Public Constructor,org.apache.commons.collections4.AbstractLinkedListTest.AbstractLinkedListTest(String),1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.getCollection(),6,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Protected Method,org.apache.commons.collections4.AbstractLinkedListTest.getConfirmedLinkedList(),6,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.makeConfirmedCollection(),0,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.00
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.makeConfirmedFullCollection(),0,8,0,5,2,3,3,5,1,0,3,4,2,2,1,1,1,1,0,0,0,0,0.60
Public Abstract Method,org.apache.commons.collections4.AbstractLinkedListTest.makeObject(),0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListAddFirst(),0,19,2,14,2,11,3,7,2,0,10,12,2,10,2,2,2,1,1,0,1,0,0.21
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListAddLast(),0,19,2,14,2,11,3,7,2,0,10,12,2,10,2,2,2,1,1,0,1,0,0.21
