Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Constructor,"org.apache.commons.io.ByteOrderMark.ByteOrderMark(String,int...)",6,21,0,11,1,7,10,6,4,1,5,8,1,7,3,3,5,1,0,0,1,0,0.91
Public Method,org.apache.commons.io.ByteOrderMark.equals(Object),5,22,0,15,2,9,7,3,5,1,7,12,3,9,5,5,5,5,5,5,2,5,0.47
Public Method,org.apache.commons.io.ByteOrderMark.get(int),5,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Method,org.apache.commons.io.ByteOrderMark.getBytes(),3,12,0,7,2,4,5,1,2,0,5,7,3,4,2,2,2,1,0,0,1,0,0.71
Public Method,org.apache.commons.io.ByteOrderMark.getCharsetName(),4,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.apache.commons.io.ByteOrderMark.hashCode(),2,13,0,7,2,4,6,3,2,0,3,6,3,3,2,2,2,1,0,0,1,0,0.86
Public Method,org.apache.commons.io.ByteOrderMark.length(),7,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.apache.commons.io.ByteOrderMark.toString(),4,21,0,16,2,12,5,9,3,0,12,15,3,12,3,3,3,1,0,0,2,0,0.31
Public Method,org.apache.commons.io.ByteOrderMarkTestCase.charsetName(),3,6,0,5,1,3,1,2,1,0,3,4,1,3,1,1,1,1,0,0,0,0,0.20
Public Method,org.apache.commons.io.ByteOrderMarkTestCase.constantCharsetNames(),5,8,0,7,1,5,1,3,1,0,5,6,1,5,1,1,1,1,0,0,0,0,0.14
Public Method,org.apache.commons.io.ByteOrderMarkTestCase.errors(),0,27,0,22,1,16,5,2,16,1,8,13,1,12,5,5,5,1,4,0,1,0,0.23
Public Method,org.apache.commons.io.ByteOrderMarkTestCase.get(),3,9,0,8,1,6,1,2,1,0,6,7,1,6,1,1,1,1,0,0,0,0,0.13
Public Method,org.apache.commons.io.ByteOrderMarkTestCase.getBytes(),3,6,0,5,1,3,1,3,1,0,3,4,1,3,1,1,1,1,0,0,0,0,0.20
Public Method,org.apache.commons.io.ByteOrderMarkTestCase.testEquals(),3,12,1,10,1,8,1,4,1,0,8,9,1,8,1,1,1,1,0,0,0,0,0.10
Public Method,org.apache.commons.io.ByteOrderMarkTestCase.testHashCode(),3,7,0,6,2,4,1,3,1,0,4,5,2,3,1,1,1,1,0,0,0,0,0.17
Public Method,org.apache.commons.io.ByteOrderMarkTestCase.testLength(),3,5,0,4,1,3,1,2,1,0,3,4,1,3,1,1,1,1,0,0,0,0,0.25
Public Method,org.apache.commons.io.ByteOrderMarkTestCase.testToString(),3,6,0,5,1,3,1,2,1,0,3,4,1,3,1,1,1,1,0,0,0,0,0.20
Private Constructor,org.apache.commons.io.ByteOrderParser.ByteOrderParser(),0,5,0,2,1,0,3,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1.50
Public Static Method,org.apache.commons.io.ByteOrderParser.parseByteOrder(String),4,30,0,10,1,6,20,4,3,0,3,6,1,5,3,3,3,3,2,2,1,2,2.00
Private Method,org.apache.commons.io.ByteOrderParserTest.parseByteOrder(String),4,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.io.ByteOrderParserTest.testParseBig(),1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.io.ByteOrderParserTest.testParseLittle(),1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.io.ByteOrderParserTest.testThrowsException(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Static Method,org.apache.commons.io.Charsets.requiredCharsets(),9,23,0,10,2,8,13,5,1,0,8,9,2,7,1,1,1,1,0,0,0,0,1.30
Public Static Method,org.apache.commons.io.Charsets.toCharset(Charset),16,10,0,3,1,1,7,2,1,0,1,2,1,1,2,2,2,1,0,0,0,0,2.33
Public Static Method,org.apache.commons.io.Charsets.toCharset(String),26,12,0,3,1,1,9,3,1,0,1,2,1,1,2,2,2,1,0,0,0,0,3.00
Public Method,org.apache.commons.io.CharsetsTestCase.testIso8859_1(),1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.io.CharsetsTestCase.testRequiredCharsets(),0,11,0,9,2,7,2,4,1,0,7,8,2,6,1,1,1,1,0,0,0,0,0.22
Public Method,org.apache.commons.io.CharsetsTestCase.testToCharset(),0,6,0,6,1,4,0,5,1,0,4,5,1,4,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.io.CharsetsTestCase.testUsAscii(),1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.io.CharsetsTestCase.testUtf16(),1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
