Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Private Constructor,"RealFunctionValidation.ApplicationProperties.ApplicationProperties(String,String,String,String,int,int,int)",10,29,3,26,9,17,0,17,4,1,14,18,6,12,3,3,3,1,1,0,1,0,0.00
Public Static Method,RealFunctionValidation.ApplicationProperties.create(Properties),9,23,6,17,8,11,0,4,1,0,12,13,8,5,1,1,1,1,0,0,0,0,0.00
Public Static Method,"RealFunctionValidation.ApplicationProperties.findStaticMethod(String,String,List<Class>)",6,42,1,29,10,18,12,11,9,1,12,20,9,11,7,7,7,6,6,6,5,6,0.41
Private Static Method,"RealFunctionValidation.ApplicationProperties.getPropertyAsInteger(Properties,String)",3,10,1,9,3,5,0,4,2,0,3,5,2,3,2,2,2,1,2,0,1,0,0.00
Private Static Method,"RealFunctionValidation.ApplicationProperties.getPropertyAsString(Properties,String)",3,10,1,9,3,5,0,3,2,0,3,5,2,3,2,2,2,1,2,0,1,0,0.00
Public Static Method,RealFunctionValidation.ApplicationProperties.parsePrimitiveType(String),10,24,1,23,2,20,0,6,9,1,11,20,2,18,9,9,9,9,8,8,1,8,0.00
Public Constructor,RealFunctionValidation.MissingRequiredPropertyException.MissingRequiredPropertyException(String),3,4,1,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Static Method,"RealFunctionValidation.assessAccuracy(Method,DataInputStream,DataOutputStream)",6,46,3,43,14,30,0,19,36,2,23,31,12,19,8,8,8,3,3,2,3,1,0.00
Public Static Method,RealFunctionValidation.main(String[]),2,19,4,15,7,9,0,7,2,0,9,11,5,6,2,2,2,1,0,0,1,0,0.00
Public Static Method,"RealFunctionValidation.readAndWritePrimitiveValue(DataInputStream,DataOutputStream,Class<?>)",12,45,1,43,12,36,1,29,18,1,26,36,9,27,10,10,10,9,8,8,1,8,0.02
Public Static Method,RealFunctionValidation.run(ApplicationProperties),9,23,4,19,8,9,0,8,2,0,15,17,7,10,2,2,2,1,0,0,1,0,0.00
Protected Abstract Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.build(double),48,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Private Method,"org.apache.commons.math3.ExtendedFieldElementAbstractTest.checkRelative(double,T)",54,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Private Method,"org.apache.commons.math3.ExtendedFieldElementAbstractTest.generateDouble(RandomGenerator,int)",10,7,0,7,2,4,0,2,2,0,5,7,3,4,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAbs(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAcos(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAcosh(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAddDouble(),0,7,0,7,1,3,0,3,3,0,5,8,3,5,3,3,3,1,0,0,2,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAddField(),0,7,0,7,1,3,0,3,3,0,5,8,3,5,3,3,3,1,0,0,2,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAsin(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAsinh(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAtan(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAtan2(),0,7,0,7,1,3,0,4,3,0,5,8,3,5,3,3,3,1,0,0,2,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testAtanh(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testCbrt(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testCeil(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testCopySignDouble(),0,7,0,7,1,3,0,4,3,0,5,8,3,5,3,3,3,1,0,0,2,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testCopySignField(),0,7,0,7,1,3,0,4,3,0,5,8,3,5,3,3,3,1,0,0,2,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testCos(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testCosh(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testDivideDouble(),0,7,0,7,1,3,0,3,3,0,5,8,3,5,3,3,3,1,0,0,2,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testDivideField(),0,7,0,7,1,3,0,3,3,0,5,8,3,5,3,3,3,1,0,0,2,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testEquals(),0,9,0,9,4,7,0,4,1,0,7,8,4,4,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testExp(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testExpm1(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testFloor(),0,5,0,5,1,2,0,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testGetField(),0,4,0,4,1,2,0,5,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testHash(),0,7,0,7,4,5,0,4,1,0,5,6,4,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testHypot(),0,7,0,7,1,3,0,4,3,0,5,8,3,5,3,3,3,1,0,0,2,0,0.00
Public Method,org.apache.commons.math3.ExtendedFieldElementAbstractTest.testLinearCombinationDF2(),0,10,0,10,5,7,0,6,2,0,7,9,6,3,2,2,2,1,0,0,1,0,0.00
