Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Private Constructor,"org.apache.commons.text.AlphabetConverter.AlphabetConverter(Map<Integer,String>,Map<String,String>,int)",5,15,1,7,3,3,7,4,1,0,3,4,1,3,1,1,1,1,0,0,0,0,1.00
Private Method,"org.apache.commons.text.AlphabetConverter.addSingleEncoding(int,String,Collection<Integer>,Iterator<Integer>,Map<Integer,String>)",9,58,8,39,8,27,12,5,7,1,11,19,5,14,7,7,8,6,10,10,4,8,0.31
Private Static Method,org.apache.commons.text.AlphabetConverter.codePointToString(int),7,13,0,6,1,3,7,5,2,0,2,4,1,3,2,2,2,1,1,0,1,0,1.17
Private Static Method,org.apache.commons.text.AlphabetConverter.convertCharsToIntegers(Character[]),4,16,0,10,2,6,6,2,3,0,6,9,3,6,3,3,3,1,1,0,1,0,0.60
Public Static Method,"org.apache.commons.text.AlphabetConverter.createConverter(Integer[],Integer[],Integer[])",6,118,20,76,21,60,22,16,35,2,30,42,17,25,10,10,10,3,4,2,4,2,0.29
Public Static Method,"org.apache.commons.text.AlphabetConverter.createConverterFromChars(Character[],Character[],Character[])",15,26,0,9,4,4,17,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.89
Public Static Method,"org.apache.commons.text.AlphabetConverter.createConverterFromMap(Map<Integer,String>)",5,29,4,18,7,12,7,10,3,0,7,11,6,5,3,3,3,1,0,0,2,0,0.39
Public Method,org.apache.commons.text.AlphabetConverter.decode(String),9,45,4,31,8,23,11,11,7,1,15,20,7,13,6,6,6,1,2,0,3,0,0.35
Public Method,org.apache.commons.text.AlphabetConverter.encode(String),5,37,7,22,5,16,8,10,4,1,10,13,5,8,4,4,4,1,1,0,2,0,0.36
Public Method,org.apache.commons.text.AlphabetConverter.equals(Object),8,15,0,15,2,10,0,2,4,1,5,9,2,7,4,4,6,4,3,3,1,3,0.00
Public Method,org.apache.commons.text.AlphabetConverter.getEncodedCharLength(),6,10,0,3,1,1,7,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.33
Public Method,org.apache.commons.text.AlphabetConverter.getOriginalToEncoded(),2,10,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.33
Public Method,org.apache.commons.text.AlphabetConverter.hashCode(),4,5,0,5,1,3,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.text.AlphabetConverter.toString(),3,12,2,10,2,7,0,10,2,0,3,6,3,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.commons.text.AlphabetConverterTest.binaryTest(),4,5,0,5,1,3,0,1,1,0,3,4,1,3,1,1,1,1,0,0,0,0,0.00
Private Method,org.apache.commons.text.AlphabetConverterTest.createJavadocExample(),3,7,1,6,4,4,0,2,1,0,4,5,4,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.text.AlphabetConverterTest.doNotEncodeTest(),4,6,0,6,1,4,0,1,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.text.AlphabetConverterTest.encodeFailureTest(),1,5,0,5,1,3,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Lambda Method,org.apache.commons.text.AlphabetConverterTest.encodeFailureTest.(lambda_expr_1)(),3,3,0,3,0,2,0,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.text.AlphabetConverterTest.hebrewTest(),5,10,0,10,1,8,0,1,1,0,4,5,1,4,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.text.AlphabetConverterTest.javadocExampleTest(),0,9,1,8,2,6,0,4,1,0,6,7,2,5,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.text.AlphabetConverterTest.missingDoNotEncodeLettersFromEncodingTest(),1,6,0,6,1,4,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Lambda Method,org.apache.commons.text.AlphabetConverterTest.missingDoNotEncodeLettersFromEncodingTest.(lambda_expr_1)(),3,3,0,3,0,2,0,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.text.AlphabetConverterTest.missingDoNotEncodeLettersFromOriginalTest(),1,6,0,6,1,4,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Lambda Method,org.apache.commons.text.AlphabetConverterTest.missingDoNotEncodeLettersFromOriginalTest.(lambda_expr_1)(),3,3,0,3,0,2,0,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.text.AlphabetConverterTest.noEncodingLettersTest(),1,6,0,6,1,4,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Lambda Method,org.apache.commons.text.AlphabetConverterTest.noEncodingLettersTest.(lambda_expr_1)(),2,3,0,3,0,2,0,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0.00
