Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Abstract Method,$__ClassNameTestDubboStub.Iface.echo(String),1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Public Constructor,$__ClassNameTestDubboStub.Processor.Processor(I),1,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Protected Constructor,"$__ClassNameTestDubboStub.Processor.Processor(I,Map<String,org.apache.thrift.ProcessFunction>)",2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,$__ClassNameTestDubboStub.Processor.echo.echo(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,$__ClassNameTestDubboStub.Processor.echo.getEmptyArgsInstance(),0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,"$__ClassNameTestDubboStub.Processor.echo.getResult(I,echo_args)",3,5,0,5,2,3,0,4,1,0,3,4,2,2,1,1,1,1,0,0,0,0,0.00
Protected Method,$__ClassNameTestDubboStub.Processor.echo.isOneway(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Private Static Generic Method,"$__ClassNameTestDubboStub.Processor.getProcessMap(Map<String,org.apache.thrift.ProcessFunction>)",3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Constructor,"$__ClassNameTestDubboStub.echo_args._Fields._Fields(short,String)",2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Static Method,$__ClassNameTestDubboStub.echo_args._Fields.findByName(String),2,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.00
