Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Private Constructor,"com.urbanairship.api.channel.ChannelAttributesRequest.ChannelAttributesRequest(String,ChannelAttributesPayload)",3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelAttributesRequest.bearerTokenAuthRequired(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelAttributesRequest.getContentType(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelAttributesRequest.getHttpMethod(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelAttributesRequest.getRequestBody(),1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelAttributesRequest.getRequestHeaders(),4,6,0,6,2,4,0,2,1,0,4,5,2,3,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelAttributesRequest.getResponseParser(),0,8,0,8,1,5,0,1,1,0,2,4,2,2,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelAttributesRequest.getResponseParser.(Anon_1).parse(String),3,3,0,3,0,2,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelAttributesRequest.getUri(URI),2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Static Method,com.urbanairship.api.channel.ChannelAttributesRequest.newRequest(ChannelAttributesPayload),2,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Private Constructor,com.urbanairship.api.channel.ChannelRequest.ChannelRequest(String),5,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelRequest.bearerTokenAuthRequired(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelRequest.getContentType(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelRequest.getHttpMethod(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelRequest.getRequestBody(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.urbanairship.api.channel.ChannelRequest.getRequestHeaders(),5,6,0,6,2,4,0,2,1,0,4,5,2,3,1,1,1,1,0,0,0,0,0.00
