Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Method,org.jfree.chart.AreaChartTest.LocalListener.chartChanged(ChartChangeEvent),0,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Private Static Method,org.jfree.chart.AreaChartTest.createAreaChart(),2,16,1,10,5,8,5,4,1,0,3,4,3,1,1,1,1,1,0,0,0,0,0.50
Public Method,org.jfree.chart.AreaChartTest.setUp(),0,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.00
Public Method,org.jfree.chart.AreaChartTest.testDrawWithNullInfo(),2,17,0,13,4,9,4,5,2,0,5,7,3,4,2,2,2,1,1,0,1,0,0.31
Public Method,org.jfree.chart.AreaChartTest.testReplaceDataset(),2,24,2,19,9,17,3,11,1,0,11,12,7,5,1,1,1,1,0,0,0,0,0.16
Public Method,org.jfree.chart.AreaChartTest.testSetSeriesToolTipGenerator(),1,13,0,9,6,6,4,6,1,0,6,7,5,2,1,1,1,1,0,0,0,0,0.44
Public Method,org.jfree.chart.AreaChartTest.testSetSeriesURLGenerator(),1,13,0,9,6,6,4,6,1,0,6,7,5,2,1,1,1,1,0,0,0,0,0.44
Public Method,org.jfree.chart.BarChartTest.LocalListener.chartChanged(ChartChangeEvent),0,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Private Static Method,org.jfree.chart.BarChartTest.createBarChart(),2,28,4,17,5,15,8,4,1,0,3,4,3,1,1,1,1,1,0,0,0,0,0.47
Public Method,org.jfree.chart.BarChartTest.setUp(),0,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.00
Public Method,org.jfree.chart.BarChartTest.testDrawWithNullInfo(),2,17,0,13,4,9,4,5,2,0,5,7,3,4,2,2,2,1,1,0,1,0,0.31
Public Method,org.jfree.chart.BarChartTest.testReplaceDataset(),2,27,4,19,9,17,4,11,1,0,11,12,7,5,1,1,1,1,0,0,0,0,0.21
Public Method,org.jfree.chart.BarChartTest.testSetSeriesToolTipGenerator(),1,13,0,9,6,6,4,6,1,0,6,7,5,2,1,1,1,1,0,0,0,0,0.44
Public Method,org.jfree.chart.BarChartTest.testSetSeriesURLGenerator(),1,13,0,9,6,6,4,6,1,0,6,7,5,2,1,1,1,1,0,0,0,0,0.44
Public Constructor,"org.jfree.chart.ChartColor.ChartColor(int,int,int)",3,11,0,3,1,1,8,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.67
Public Static Method,org.jfree.chart.ChartColor.createDefaultPaintArray(),28,46,1,38,1,36,7,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.18
Public Static Method,"org.jfree.chart.ChartFactory.createAreaChart(String,String,String,CategoryDataset)",5,23,0,6,3,2,17,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.83
Public Static Method,"org.jfree.chart.ChartFactory.createAreaChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",12,50,5,25,11,18,20,14,4,1,12,15,6,9,3,3,3,1,0,0,1,0,0.80
Public Static Method,"org.jfree.chart.ChartFactory.createBarChart(String,String,String,CategoryDataset)",8,24,0,6,3,2,18,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Method,"org.jfree.chart.ChartFactory.createBarChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",25,63,4,39,19,31,20,16,12,1,19,24,10,14,5,5,5,1,1,0,1,0,0.51
Public Static Method,"org.jfree.chart.ChartFactory.createBoxAndWhiskerChart(String,String,String,BoxAndWhiskerCategoryDataset,boolean)",7,34,3,15,10,11,16,10,1,0,9,10,6,4,1,1,1,1,0,0,0,0,1.07
Public Static Method,"org.jfree.chart.ChartFactory.createBoxAndWhiskerChart(String,String,String,BoxAndWhiskerXYDataset,boolean)",8,28,2,13,9,9,13,8,1,0,8,9,6,3,1,1,1,1,0,0,0,0,1.00
Public Static Method,"org.jfree.chart.ChartFactory.createBubbleChart(String,String,String,XYZDataset)",5,20,0,5,2,2,15,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Method,"org.jfree.chart.ChartFactory.createBubbleChart(String,String,String,XYZDataset,PlotOrientation,boolean,boolean,boolean)",12,47,5,24,10,18,18,13,4,1,14,17,6,11,3,3,3,1,0,0,1,0,0.75
Public Static Method,"org.jfree.chart.ChartFactory.createCandlestickChart(String,String,String,OHLCDataset,boolean)",7,27,2,12,8,8,13,8,1,0,7,8,5,3,1,1,1,1,0,0,0,0,1.08
Public Static Method,"org.jfree.chart.ChartFactory.createGanttChart(String,String,String,IntervalCategoryDataset)",4,24,0,6,3,2,18,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Method,"org.jfree.chart.ChartFactory.createGanttChart(String,String,String,IntervalCategoryDataset,boolean,boolean,boolean)",12,47,4,24,11,17,19,13,4,1,10,13,6,7,3,3,3,1,0,0,1,0,0.79
Public Static Method,"org.jfree.chart.ChartFactory.createHighLowChart(String,String,String,OHLCDataset,boolean)",7,28,2,13,9,9,13,9,1,0,8,9,6,3,1,1,1,1,0,0,0,0,1.00
Public Static Method,"org.jfree.chart.ChartFactory.createHistogram(String,String,String,IntervalXYDataset)",5,18,0,5,2,2,13,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.60
Public Static Method,"org.jfree.chart.ChartFactory.createHistogram(String,String,String,IntervalXYDataset,PlotOrientation,boolean,boolean,boolean)",11,45,4,24,10,17,17,15,4,1,14,17,6,11,3,3,3,1,0,0,1,0,0.71
Public Static Method,"org.jfree.chart.ChartFactory.createLineChart(String,String,String,CategoryDataset)",6,23,0,6,3,2,17,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.83
Public Static Method,"org.jfree.chart.ChartFactory.createLineChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",16,47,3,24,11,17,20,13,4,1,11,14,6,8,3,3,3,1,0,0,1,0,0.83
Public Static Method,"org.jfree.chart.ChartFactory.createMultiplePieChart(String,CategoryDataset,TableOrder,boolean,boolean,boolean)",8,44,5,24,11,17,15,14,4,1,14,17,7,10,3,3,3,1,0,0,1,0,0.63
Public Static Method,"org.jfree.chart.ChartFactory.createMultiplePieChart3D(String,CategoryDataset,TableOrder,boolean,boolean,boolean)",10,53,6,32,14,25,15,23,4,1,21,24,9,15,3,3,3,1,0,0,1,0,0.47
Public Static Method,"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset)",11,16,0,3,1,1,13,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.33
Public Static Method,"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,PieDataset,int,boolean,boolean,boolean,Locale,boolean,boolean)",15,119,8,71,20,52,42,28,144,2,29,39,13,26,15,15,18,1,3,0,3,0,0.59
Public Static Method,"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,PieDataset,int,boolean,boolean,boolean,boolean,boolean,boolean)",15,120,8,74,20,54,40,30,288,2,30,41,13,28,16,16,19,1,3,0,3,0,0.54
Public Static Method,"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,boolean,boolean,Locale)",7,31,2,13,5,9,16,10,2,0,7,9,3,6,2,2,2,1,0,0,1,0,1.23
Public Static Method,"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,boolean,boolean,boolean)",10,31,1,16,5,11,14,12,4,1,8,11,3,8,3,3,3,1,0,0,1,0,0.88
Public Static Method,"org.jfree.chart.ChartFactory.createPieChart3D(String,PieDataset)",4,16,0,4,2,1,12,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
