Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Constructor,org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.ProjectBuilder(MavenProject),2,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,"org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.ProjectBuilder(String,String,String)",3,10,0,10,2,7,0,8,1,0,7,8,2,6,1,1,1,1,0,0,0,0,0.00
Public Method,"org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.addDependency(String,String,String,String)",4,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,"org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.addDependency(String,String,String,String,Exclusion)",6,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,"org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.addDependency(String,String,String,String,String)",5,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,"org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.addDependency(String,String,String,String,String,Exclusion)",10,22,4,18,2,11,0,10,4,1,9,12,2,10,3,3,4,1,0,0,1,0,0.00
Public Method,org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.addPlugin(Plugin),2,5,0,5,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.get(),1,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.setArtifactId(String),2,5,0,5,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.setGroupId(String),2,5,0,5,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.maven.AbstractCoreMavenComponentTestCase.ProjectBuilder.setVersion(String),2,5,0,5,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.createMavenExecutionRequest(File),5,15,1,14,4,10,0,14,1,0,2,3,2,1,1,1,1,1,0,0,0,0,0.00
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.createMavenSession(File),29,5,0,5,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Protected Method,"org.apache.maven.AbstractCoreMavenComponentTestCase.createMavenSession(File,Properties)",5,5,0,5,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Protected Method,"org.apache.maven.AbstractCoreMavenComponentTestCase.createMavenSession(File,Properties,boolean)",6,49,7,42,11,27,0,25,5,1,17,23,9,14,5,5,5,1,1,0,4,0,0.00
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.createStubMavenProject(),1,8,0,8,2,5,0,5,1,0,5,6,2,4,1,1,1,1,0,0,0,0,0.00
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.customizeContainerConfiguration(ContainerConfiguration),2,13,0,4,1,1,9,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.25
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.getLocalRepository(),5,7,1,6,3,2,0,4,1,0,2,3,2,1,1,1,1,1,0,0,0,0,0.00
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.getPluginArtifactRepositories(),4,5,0,5,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.getProject(String),23,8,0,8,4,4,0,4,1,0,4,5,3,2,1,1,1,1,0,0,0,0,0.00
Protected Abstract Method,org.apache.maven.AbstractCoreMavenComponentTestCase.getProjectsDirectory(),1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.getRemoteRepositories(),4,18,3,15,5,11,1,14,1,0,11,12,4,8,1,1,1,1,0,0,0,0,0.07
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.initRepoSession(ProjectBuildingRequest),2,9,0,9,5,5,0,6,1,0,5,6,4,2,1,1,1,1,0,0,0,0,0.00
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.setUp(),8,6,0,6,2,2,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Protected Method,org.apache.maven.AbstractCoreMavenComponentTestCase.tearDown(),6,7,0,7,2,3,0,3,1,0,3,4,1,3,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.maven.AbstractMavenLifecycleParticipant.afterProjectsRead(MavenSession),1,11,0,4,2,0,7,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1.75
Public Method,org.apache.maven.AbstractMavenLifecycleParticipant.afterSessionEnd(MavenSession),1,14,0,4,2,0,10,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,2.50
Public Method,org.apache.maven.AbstractMavenLifecycleParticipant.afterSessionStart(MavenSession),1,12,0,4,2,0,8,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,2.00
Public Static Method,org.apache.maven.App.main(String[]),0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,org.apache.maven.AppTest.AppTest(String),1,9,0,4,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.25
Public Static Method,org.apache.maven.AppTest.suite(),1,7,0,4,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.75
Public Method,org.apache.maven.AppTest.testApp(),0,7,0,4,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.75
Abstract Method,org.apache.maven.ArtifactFilterManager.excludeArtifact(String),0,7,0,1,1,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.00
Abstract Method,org.apache.maven.ArtifactFilterManager.getArtifactFilter(),0,7,0,1,1,0,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.00
