Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Static Method,HelloWorld.main(String[]),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,TestFuzzingCLI.testBasic(),0,14,0,13,5,10,6,1,1,0,4,5,4,1,1,1,1,1,0,0,0,0,0.46
Public Method,TestFuzzingCLI.testMock(),0,19,0,18,5,14,5,11,1,0,5,7,4,3,1,1,1,1,0,0,1,0,0.28
Public Method,TestTransformer.testBasic(),0,17,3,13,5,9,2,7,3,0,8,11,6,5,3,3,3,1,0,0,2,0,0.15
Public Method,Tika.Tika.detect(cli.System.IO.FileInfo),3,8,0,8,2,4,0,5,2,0,2,4,1,3,2,2,2,1,1,0,1,0,0.00
Public Method,Tika.Tika.detect(cli.System.String),2,3,0,3,1,1,0,4,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,Tika.Tika.detect(cli.System.Uri),3,8,0,8,2,4,0,5,2,0,2,4,1,3,2,2,2,1,1,0,1,0,0.00
Public Method,Tika.Tika.parseToString(cli.System.IO.FileInfo),3,8,0,8,2,4,0,5,2,0,2,4,1,3,2,2,2,1,1,0,1,0,0.00
Public Method,Tika.Tika.parseToString(cli.System.Uri),3,8,0,8,2,4,0,5,2,0,2,4,1,3,2,2,2,1,1,0,1,0,0.00
Private Static Method,Tika.Tika.toCliString(String),6,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Private Static Method,Tika.Tika.toJvmString(cli.System.String),2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Function,main(),0,4,0,4,1,1,0,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0.00
Function,main(),0,5,0,5,0,1,0,1,1,0,2,1,0,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,org.apache.tika.MockDBWriter.MockDBWriter(),1,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.MockDBWriter.clear(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.MockDBWriter.close(),0,3,0,2,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.50
Public Method,org.apache.tika.MockDBWriter.getMimeId(String),2,10,1,9,3,6,0,4,2,0,5,7,3,4,2,2,2,1,1,0,1,0,0.00
Public Method,org.apache.tika.MockDBWriter.getTable(TableInfo),12,9,0,9,1,5,0,5,3,0,3,7,2,5,3,3,3,1,0,0,2,0,0.00
Public Method,"org.apache.tika.MockDBWriter.writeRow(TableInfo,Map<Cols,String>)",3,8,0,8,2,5,0,4,2,0,4,6,2,4,2,2,2,1,0,0,1,0,0.00
Private Constructor,org.apache.tika.MultiThreadedTikaTest.Extract.Extract(List<Metadata>),3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Constructor,org.apache.tika.MultiThreadedTikaTest.SAXPoolResizer.SAXPoolResizer(int),2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.MultiThreadedTikaTest.SAXPoolResizer.call(),2,16,0,16,3,11,0,6,4,1,7,11,3,8,4,4,5,3,3,2,2,1,0.00
Private Constructor,"org.apache.tika.MultiThreadedTikaTest.TikaDetectorRunner.TikaDetectorRunner(Detector,int,Path[],Map<Path,MediaType>)",5,6,0,6,1,4,0,5,1,0,4,5,1,4,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.MultiThreadedTikaTest.TikaDetectorRunner.call(),6,12,0,12,5,8,0,8,2,0,8,11,6,5,2,2,2,1,0,0,2,0,0.00
Private Constructor,"org.apache.tika.MultiThreadedTikaTest.TikaRunner.TikaRunner(Parser,ParseContext,int,Path[],Map<Path,Extract>)",7,8,0,8,1,6,0,8,1,0,6,7,1,6,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.MultiThreadedTikaTest.TikaRunner.call(),6,19,0,17,5,12,2,7,5,1,10,14,6,8,4,4,4,1,1,0,2,0,0.12
Private Method,"org.apache.tika.MultiThreadedTikaTest._testAll(Parser,Path[],ParseContext[],int,int,Map<Path,Extract>,ExecutorService)",10,26,4,20,5,13,3,4,8,1,10,15,5,10,5,5,5,1,1,0,3,0,0.15
Private Method,"org.apache.tika.MultiThreadedTikaTest._testDetectorOnAll(Detector,Path[],int,int,Map<Path,MediaType>,ExecutorService,int)",10,27,3,23,5,16,2,7,8,1,13,18,5,13,5,5,5,1,1,0,3,0,0.09
Private Static Method,"org.apache.tika.MultiThreadedTikaTest.assertExtractEquals(Extract,Extract)",5,16,3,11,1,8,2,3,2,0,5,7,2,5,2,2,2,1,0,0,1,0,0.18
Private Static Method,"org.apache.tika.MultiThreadedTikaTest.getBaseline(Parser,Path[],ParseContext)",5,16,3,12,3,8,1,6,3,0,5,9,4,5,3,3,3,1,1,0,2,0,0.08
Private Static Method,"org.apache.tika.MultiThreadedTikaTest.getBaselineDetection(Detector,Path[])",4,15,1,14,4,10,0,6,3,0,7,11,5,6,3,3,3,1,1,0,2,0,0.00
Private Static Method,"org.apache.tika.MultiThreadedTikaTest.getRecursiveMetadata(InputStream,Parser,ParseContext)",5,12,0,9,4,6,3,6,1,0,4,5,2,3,1,1,1,1,0,0,0,0,0.33
Public Static Method,org.apache.tika.MultiThreadedTikaTest.getTestFiles(FileFilter),2,18,0,18,4,13,0,7,1,0,7,11,4,7,1,1,1,1,0,0,0,0,0.00
Public Method,"org.apache.tika.MultiThreadedTikaTest.getTestFiles.(Anon_1).visitFile(Path,BasicFileAttributes)",4,9,0,9,0,6,0,5,3,0,3,6,1,5,3,3,4,1,1,0,1,0,0.00
Protected Method,"org.apache.tika.MultiThreadedTikaTest.testAll(Parser,Path[],ParseContext[],int,int)",7,35,2,17,5,12,16,7,4,1,8,13,6,7,3,3,3,1,0,0,1,0,0.94
Public Method,"org.apache.tika.MultiThreadedTikaTest.testDetector(Detector,int,int,FileFilter,int)",8,5,0,5,2,3,0,3,1,0,3,4,2,2,1,1,1,1,0,0,0,0,0.00
Method,"org.apache.tika.MultiThreadedTikaTest.testDetectorEach(Detector,Path[],int,int,int)",6,7,0,7,2,4,0,1,2,0,3,6,3,3,2,2,2,1,0,0,1,0,0.00
Private Method,"org.apache.tika.MultiThreadedTikaTest.testDetectorOnAll(Detector,Path[],int,int,int)",7,21,0,19,6,14,2,7,3,0,10,15,7,8,4,4,4,1,1,0,1,0,0.11
