Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.apache.commons.collections4.EnumerationUtils.toList(StringTokenizer);2;14;0;7;2;4;7;6;2;0;3;5;2;3;2;2;2;1;0;0;1;0;1.00;org.apache.commons.collections4.EnumerationUtilsTest.testToListWithStringTokenizer();1;16;0;16;5;13;0;7;2;0;12;14;5;9;2;2;2;1;0;0;1;0;0.00;0,0000;0,0000;
org.apache.commons.collections4.IteratorUtils.nodeListIterator(Node);2;23;0;6;1;3;17;3;2;0;2;4;1;3;2;2;2;1;0;0;1;0;2.83;org.apache.commons.collections4.IteratorUtilsTest.testNodeIterator();0;23;3;15;6;12;5;14;2;0;11;14;7;7;2;2;2;1;0;0;1;0;0.33;0,0000;0,0000;
org.apache.commons.collections4.IteratorUtils.nodeListIterator(NodeList);2;15;0;6;1;3;9;3;2;0;2;4;1;3;2;2;2;1;0;0;1;0;1.50;org.apache.commons.collections4.IteratorUtilsTest.testNodeListIterator();0;20;3;12;5;9;5;9;2;0;8;11;6;5;2;2;2;1;0;0;1;0;0.42;0,0000;0,0000;
org.apache.commons.collections4.ListUtils.longestCommonSubsequence(CharSequence,CharSequence);3;23;0;11;3;7;12;7;4;1;5;9;4;5;3;3;4;1;0;0;1;0;1.09;org.apache.commons.collections4.ListUtilsTest.testLongestCommonSubsequenceWithString();0;36;10;26;6;24;0;4;8;1;18;22;6;16;4;4;4;1;3;0;1;0;0.00;0,0000;0,0000;
org.apache.commons.collections4.iterators.FilterListIterator.next();4;9;0;9;2;6;0;5;2;0;5;7;2;5;2;2;3;1;0;0;1;0;0.00;org.apache.commons.collections4.iterators.FilterListIteratorTest.testFailingHasNextBug();3;11;0;11;3;8;0;11;2;0;7;9;3;6;2;2;2;1;0;0;1;0;0.00;0,0000;0,0000;
org.apache.commons.collections4.iterators.FilterListIterator.previous();4;9;0;9;2;6;0;5;2;0;5;7;2;5;2;2;3;1;0;0;1;0;0.00;org.apache.commons.collections4.iterators.FilterListIteratorTest.testFailingHasNextBug();3;11;0;11;3;8;0;11;2;0;7;9;3;6;2;2;2;1;0;0;1;0;0.00;0,0000;0,0000;
org.apache.commons.collections4.iterators.FilterListIterator.next();4;9;0;9;2;6;0;5;2;0;5;7;2;5;2;2;3;1;0;0;1;0;0.00;org.apache.commons.collections4.iterators.FilterListIteratorTest.testManual();2;58;9;48;2;46;1;9;1;0;46;47;2;45;1;1;1;1;0;0;0;0;0.02;0,0000;0,0000;
org.apache.commons.collections4.iterators.FilterListIterator.previous();4;9;0;9;2;6;0;5;2;0;5;7;2;5;2;2;3;1;0;0;1;0;0.00;org.apache.commons.collections4.iterators.FilterListIteratorTest.testManual();2;58;9;48;2;46;1;9;1;0;46;47;2;45;1;1;1;1;0;0;0;0;0.02;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingIterator.next();9;18;0;9;1;5;9;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;1.00;org.apache.commons.collections4.iterators.LoopingIteratorTest.testLooping0();0;15;1;10;3;7;4;6;2;0;5;7;3;4;2;2;2;1;1;0;1;0;0.40;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingIterator.next();9;18;0;9;1;5;9;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;1.00;org.apache.commons.collections4.iterators.LoopingIteratorTest.testLooping1();0;18;4;10;3;8;4;6;1;0;8;9;3;6;1;1;1;1;0;0;0;0;0.40;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingIterator.next();9;18;0;9;1;5;9;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;1.00;org.apache.commons.collections4.iterators.LoopingIteratorTest.testLooping2();0;18;4;10;3;8;4;6;1;0;8;9;3;6;1;1;1;1;0;0;0;0;0.40;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingIterator.next();9;18;0;9;1;5;9;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;1.00;org.apache.commons.collections4.iterators.LoopingIteratorTest.testLooping3();0;21;5;12;3;10;4;6;1;0;10;11;3;8;1;1;1;1;0;0;0;0;0.33;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingIterator.next();9;18;0;9;1;5;9;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;1.00;org.apache.commons.collections4.iterators.LoopingIteratorTest.testReset();0;21;1;16;3;14;4;5;1;0;14;15;3;12;1;1;1;1;0;0;0;0;0.25;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingIterator.next();9;18;0;9;1;5;9;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;1.00;org.apache.commons.collections4.iterators.LoopingIteratorTest.testSize();0;18;1;13;3;11;4;8;1;0;11;12;3;9;1;1;1;1;0;0;0;0;0.31;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingIterator.next();9;18;0;9;1;5;9;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;1.00;org.apache.commons.collections4.iterators.LoopingIteratorTest.testRemoving1();0;31;4;23;3;20;7;11;2;0;18;20;3;17;2;2;2;1;1;0;1;0;0.30;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.next();12;18;0;10;1;6;8;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;0.80;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testRemovingElementsAndIteratingForward();0;29;4;22;3;19;10;11;2;0;17;19;3;16;2;2;2;1;1;0;1;0;0.45;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.next();12;18;0;10;1;6;8;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;0.80;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testJoggingNotOverBoundary();0;19;2;11;3;9;13;6;1;0;9;10;3;7;1;1;1;1;0;0;0;0;1.18;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.previous();12;24;0;15;2;10;9;7;6;1;6;10;2;8;4;4;4;1;1;0;2;0;0.60;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testJoggingNotOverBoundary();0;19;2;11;3;9;13;6;1;0;9;10;3;7;1;1;1;1;0;0;0;0;1.18;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.next();12;18;0;10;1;6;8;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;0.80;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testAdd();0;53;8;42;3;40;40;8;1;0;40;41;3;38;1;1;1;1;0;0;0;0;0.95;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.previous();12;24;0;15;2;10;9;7;6;1;6;10;2;8;4;4;4;1;1;0;2;0;0.60;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testAdd();0;53;8;42;3;40;40;8;1;0;40;41;3;38;1;1;1;1;0;0;0;0;0.95;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.next();12;18;0;10;1;6;8;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;0.80;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testSet();0;22;4;15;3;13;15;7;1;0;13;14;3;11;1;1;1;1;0;0;0;0;1.00;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.previous();12;24;0;15;2;10;9;7;6;1;6;10;2;8;4;4;4;1;1;0;2;0;0.60;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testSet();0;22;4;15;3;13;15;7;1;0;13;14;3;11;1;1;1;1;0;0;0;0;1.00;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.next();12;18;0;10;1;6;8;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;0.80;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testLooping0();0;21;2;16;3;12;3;8;4;1;8;11;3;8;3;3;3;1;2;0;1;0;0.19;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.previous();12;24;0;15;2;10;9;7;6;1;6;10;2;8;4;4;4;1;1;0;2;0;0.60;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testLooping0();0;21;2;16;3;12;3;8;4;1;8;11;3;8;3;3;3;1;2;0;1;0;0.19;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.next();12;18;0;10;1;6;8;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;0.80;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testLooping1();0;26;6;16;3;14;11;8;1;0;14;15;3;12;1;1;1;1;0;0;0;0;0.69;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.previous();12;24;0;15;2;10;9;7;6;1;6;10;2;8;4;4;4;1;1;0;2;0;0.60;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testLooping1();0;26;6;16;3;14;11;8;1;0;14;15;3;12;1;1;1;1;0;0;0;0;0.69;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.next();12;18;0;10;1;6;8;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;0.80;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testLooping2();0;29;7;17;3;15;13;9;1;0;15;16;3;13;1;1;1;1;0;0;0;0;0.76;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.previous();12;24;0;15;2;10;9;7;6;1;6;10;2;8;4;4;4;1;1;0;2;0;0.60;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testLooping2();0;29;7;17;3;15;13;9;1;0;15;16;3;13;1;1;1;1;0;0;0;0;0.76;0,0000;0,0000;
org.apache.commons.collections4.iterators.LoopingListIterator.next();12;18;0;10;1;6;8;6;4;1;3;6;1;5;3;3;3;1;0;0;1;0;0.80;org.apache.commons.collections4.iterators.LoopingListIteratorTest.testReset();0;26;2;21;3;19;21;6;1;0;19;20;3;17;1;1;1;1;0;0;0;0;1.00;0,0000;0,0000;
