Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.apache.commons.io.ByteOrderMark.equals(Object);5;22;0;15;2;9;7;3;5;1;7;12;3;9;5;5;5;5;5;5;2;5;0.47;org.apache.commons.io.ByteOrderMarkTestCase.testEquals();3;12;1;10;1;8;1;4;1;0;8;9;1;8;1;1;1;1;0;0;0;0;0.10;1,0000;0,8571;
org.apache.commons.io.ByteOrderMark.getBytes();3;12;0;7;2;4;5;1;2;0;5;7;3;4;2;2;2;1;0;0;1;0;0.71;org.apache.commons.io.ByteOrderMarkTestCase.getBytes();3;6;0;5;1;3;1;3;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.20;1,0000;0,8000;
org.apache.commons.io.ByteOrderMark.hashCode();2;13;0;7;2;4;6;3;2;0;3;6;3;3;2;2;2;1;0;0;1;0;0.86;org.apache.commons.io.ByteOrderMarkTestCase.testHashCode();3;7;0;6;2;4;1;3;1;0;4;5;2;3;1;1;1;1;0;0;0;0;0.17;1,0000;0,8000;
org.apache.commons.io.ByteOrderMark.toString();4;21;0;16;2;12;5;9;3;0;12;15;3;12;3;3;3;1;0;0;2;0;0.31;org.apache.commons.io.ByteOrderMarkTestCase.testToString();3;6;0;5;1;3;1;2;1;0;3;4;1;3;1;1;1;1;0;0;0;0;0.20;1,0000;0,7143;
org.apache.commons.io.CopyUtils.copy(byte[],Writer);4;14;0;5;3;2;9;2;1;0;2;3;2;1;1;1;1;1;0;0;0;0;1.80;org.apache.commons.io.IOUtilsTestCase.testCopy_ByteArray_Writer();1;16;1;14;3;9;1;10;1;0;8;11;3;8;1;1;1;1;0;0;1;0;0.07;1,0000;1,0000;
org.apache.commons.io.CopyUtils.copy(byte[],Writer);4;14;0;5;3;2;9;2;1;0;2;3;2;1;1;1;1;1;0;0;0;0;1.80;org.apache.commons.io.CopyUtilsTest.copy_byteArrayToWriter();2;11;2;9;4;7;0;9;1;0;7;8;4;4;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.io.CopyUtils.copy(byte[],Writer,String);4;18;0;8;6;2;10;2;1;0;2;3;2;1;1;1;1;1;0;0;0;0;1.25;org.apache.commons.io.CopyUtilsTest.testCopy_byteArrayToWriterWithEncoding();0;7;0;7;4;5;0;5;1;0;5;6;4;2;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.io.CopyUtils.copy(InputStream,OutputStream);4;21;0;13;7;7;8;3;2;0;6;8;4;4;2;2;2;1;0;0;1;0;0.62;org.apache.commons.io.CopyUtilsTest.testCopy_inputStreamToOutputStream();2;14;3;11;5;9;0;11;1;0;9;10;5;5;1;1;1;1;0;0;0;0;0.00;1,0000;0,8333;
org.apache.commons.io.CopyUtils.copy(InputStream,Writer);4;17;0;7;5;2;10;3;1;0;2;3;2;1;1;1;1;1;0;0;0;0;1.43;org.apache.commons.io.CopyUtilsTest.copy_inputStreamToWriter();2;15;3;12;5;10;0;12;1;0;10;11;5;6;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
org.apache.commons.io.CopyUtils.copy(InputStream,Writer,String);5;18;0;8;6;2;10;2;1;0;2;3;2;1;1;1;1;1;0;0;0;0;1.25;org.apache.commons.io.CopyUtilsTest.copy_inputStreamToWriterWithEncoding();0;7;0;7;4;5;0;6;1;0;5;6;4;2;1;1;1;1;0;0;0;0;0.00;1,0000;1,0000;
